iso_code,name,family,genus,macroarea,lat,lon,countries,typology
aaa,Ghotuo,Niger-Congo,Edoid,Africa,7.08333333333,5.75,Nigeria,
aah,Arapesh (Abu),Torricelli,Kombio-Arapesh,Papunesia,-3.45,142.95,Papua New Guinea,
aal,Kotoko,Afro-Asiatic,Biu-Mandara,Africa,11.3333333333,15.3333333333,Central African Republic,
aar,Qafar,Afro-Asiatic,Lowland East Cushitic,Africa,12.0,42.0,Ethiopia; Eritrea; Djibouti,
aau,Abau,Sepik,Abau,Papunesia,-4.0,141.25,Papua New Guinea,
abb,Bankon,Niger-Congo,Bantu,Africa,4.41666666667,9.58333333333,Cameroon,
abe,Abenaki (Western),Algic,Algonquian,North America,44.0,-72.25,Canada; United States,
abi,Abidji,Niger-Congo,Agneby,Africa,5.66666666667,-4.58333333333,Côte d'Ivoire,
abj,Aka-Biada,Great Andamanese,Great Andamanese,Eurasia,11.6666666667,92.5,India,
abk,Abkhaz,Northwest Caucasian,Northwest Caucasian,Eurasia,43.0833333333,41.0,Georgia,Polysynthetic
abq,Abaza,Northwest Caucasian,Northwest Caucasian,Eurasia,44.0,42.0,Russia,
abt,Ambulas,Sepik,Ndu,Papunesia,-3.83333333333,143.0,Papua New Guinea,
abv,Arabic (Bahrain),Afro-Asiatic,Semitic,Eurasia,26.0,50.5,Bahrain,
abz,Abui,Greater West Bomberai,Alor-Pantar,Papunesia,-8.25,124.666666667,Indonesia,
aca,Achagua,Arawakan,Japura-Colombia,South America,4.41666666667,-72.25,Colombia,
ace,Acehnese,Austronesian,Malayo-Sumbawan,Eurasia,5.5,95.5,Indonesia,
ach,Acholi,Eastern Sudanic,Western Nilotic,Africa,3.0,32.6666666667,Uganda; South Sudan,
aci,Aka-Cari,Great Andamanese,Great Andamanese,Eurasia,13.5,93.0,India,
acm,Arabic (Iraqi),Afro-Asiatic,Semitic,Eurasia,33.0,44.0,Iraq,
acn,Achang,Sino-Tibetan,Burmese-Lolo,Eurasia,25.0,98.5,China; Myanmar,
acr,Achí,Mayan,Mayan,North America,15.1666666667,-90.5,Guatemala,
acu,Achuar,Jivaroan,Jivaroan,South America,-2.66667,-76.0,Peru,
acv,Achumawi,Hokan,Achumawi,North America,41.5,-121.0,United States,
acw,Arabic (Hijazi),Afro-Asiatic,Semitic,Eurasia,26.0,38.0,Saudi Arabia,
acy,Arabic (Kormakiti),Afro-Asiatic,Semitic,Eurasia,35.25,33.5,Cyprus,
adi,Bori,Sino-Tibetan,Tani,Eurasia,28.3333333333,94.75,India,
adj,Adioukrou,Niger-Congo,Agneby,Africa,5.41666666667,-4.58333333333,Côte d'Ivoire,
adl,Galo,Sino-Tibetan,Tani,Eurasia,28.1666666667,94.6666666667,India,
adn,Adang,Greater West Bomberai,Alor-Pantar,Papunesia,-8.2,124.0,Indonesia,
ads,Adamorobe Sign Language,other,Sign Languages,Africa,5.83333333333,-0.166666666667,Ghana,
adt,Adynyamathanha,Pama-Nyungan,Central Pama-Nyungan,Australia,-30.5,139.5,Australia,
adx,Amdo,Sino-Tibetan,Bodic,Eurasia,35.0,100.0,China,
ady,Adyghe (Abzakh),Northwest Caucasian,Northwest Caucasian,Eurasia,45.2333333333,40.5833333333,Russia,
adz,Adzera,Austronesian,Oceanic,Papunesia,-6.25,146.25,Papua New Guinea,
aeb,Arabic (Tunisian),Afro-Asiatic,Semitic,Africa,36.75,10.25,Tunisia,
aed,Lengua de Señas Argentina,other,Sign Languages,South America,-34.0,-63.0,Argentina,
aer,Arrernte (Mparntwe),Pama-Nyungan,Central Pama-Nyungan,Australia,-24.0,136.0,Australia,
aes,Alsea,Oregon Coast,Alsea,North America,44.6666666667,-123.916666667,United States,
aey,Amele,Trans-New Guinea,Mabuso,Papunesia,-5.25,145.583333333,Papua New Guinea,
afb,Arabic (Gulf),Afro-Asiatic,Semitic,Eurasia,26.0,49.0,Kuwait; Oman; Qatar; Iran; Saudi Arabia; Iraq; Bahrain,
afn,Defaka,Ijoid,Ijoid,Africa,4.58333333333,7.5,Nigeria,
afr,Afrikaans,Indo-European,Germanic,Africa,-31.0,22.0,South Africa,Isolating
afz,Obokuitai,Lakes Plain,East Tariku,Papunesia,-3.0,138.0,Indonesia,
agb,Leggbó,Niger-Congo,Upper Cross,Africa,6.0,8.0,Nigeria,
agd,Agarabi,Trans-New Guinea,Gauwa,Papunesia,-6.16666666667,146.0,Papua New Guinea,
agg,Anggor,Senagi,Senagi,Papunesia,-3.75,141.166666667,Papua New Guinea,
agh,Lebeo,Niger-Congo,Bantu,Africa,1.75,25.0,Democratic Republic of Congo,
agm,Angaataha,Trans-New Guinea,Angaataha,Papunesia,-7.21666666667,146.25,Papua New Guinea,
agq,Aghem,Niger-Congo,Wide Grassfields,Africa,6.66666666667,10.0,Cameroon,
agr,Aguaruna,Jivaroan,Jivaroan,South America,-5.0,-78.0,Peru,
agt,Agta (Central),Austronesian,Greater Central Philippine,Papunesia,17.9666666667,121.833333333,Philippines,
agu,Aguacatec,Mayan,Mayan,North America,15.4166666667,-91.3333333333,Guatemala,
agx,Aghul,Nakh-Daghestanian,Lezgic,Eurasia,41.75,47.6666666667,Russia,
ahg,Kemant,Afro-Asiatic,Central Cushitic,Africa,12.6666666667,37.4166666667,Ethiopia,
ahh,Aghu,Trans-New Guinea,Awju,Papunesia,-6.16666666667,140.166666667,Indonesia,
ahk,Akha,Sino-Tibetan,Burmese-Lolo,Eurasia,21.8333333333,99.8333333333,China; Thailand; Myanmar,
ahp,Aizi,Niger-Congo,Kru,Africa,5.25,-4.5,Côte d'Ivoire,
aht,Ahtna,Na-Dene,Athapaskan,North America,62.0,-145.0,United States,
aia,Arosi,Austronesian,Oceanic,Papunesia,-10.25,161.333333333,Solomon Islands,
aib,Aynu,Altaic,Turkic,Eurasia,39.5,76.0,China,
aie,Amara,Austronesian,Oceanic,Papunesia,-5.66666666667,148.5,Papua New Guinea,
aii,Neo-Aramaic (Assyrian),Afro-Asiatic,Semitic,Eurasia,36.0,41.0,Syria,
aij,Neo-Aramaic (Arbel Jewish),Afro-Asiatic,Semitic,Eurasia,36.3833,44.0,Iraq,
ain,Ainu,Ainu,Ainu,Eurasia,43.0,143.0,Japan,
aiw,Aari,Afro-Asiatic,South Omotic,Africa,6.0,36.5833333333,Ethiopia,
aja,Aja,Central Sudanic,Kresh,Africa,7.33333333333,25.6666666667,Central African Republic; South Sudan,
ajg,Ajagbe,Niger-Congo,Gbe,Africa,7.0,1.75,Benin; Togo,
aji,Ajië,Austronesian,Oceanic,Papunesia,-21.3333333333,165.5,New Caledonia,
ajp,Arabic (Negev),Afro-Asiatic,Semitic,Eurasia,30.5,34.75,Israel,
aka,Akan,Niger-Congo,Tano,Africa,6.5,-1.25,Ghana,
akc,Mpur,Mpur,Mpur,Papunesia,-0.75,133.25,Indonesia,
ake,Akawaio,Cariban,Cariban,South America,6.0,-59.5,Guyana,
akl,Aklanon,Austronesian,Greater Central Philippine,Papunesia,11.5833333333,122.333333333,Philippines,
akr,Araki,Austronesian,Oceanic,Papunesia,-15.6666666667,166.916666667,Vanuatu,
akv,Akhvakh,Nakh-Daghestanian,Avar-Andic-Tsezic,Eurasia,42.3333333333,46.3333333333,Russia,
akw,Akwa,Niger-Congo,Bantu,Africa,0.0,16.5,Congo,
akx,Aka-Kede,Great Andamanese,Great Andamanese,Eurasia,12.75,92.75,India,
akz,Alabama,Muskogean,Muskogean,North America,32.3333333333,-87.4166666667,United States,
alc,Qawasqar,Alacalufan,Alacalufan,South America,-49.0,-75.0,Chile,
ald,Alladian,Niger-Congo,Avikam-Alladian,Africa,5.16666666667,-4.33333333333,Côte d'Ivoire,
ale,Aleut (Eastern),Eskimo-Aleut,Aleut,North America,54.75,-164.0,United States,
alh,Alawa,Mangarrayi-Maran,Mara,Australia,-15.1666666667,134.25,Australia,
alo,Larike,Austronesian,Central Malayo-Polynesian,Papunesia,-3.75,127.916666667,Indonesia,
alp,Alune,Austronesian,Central Malayo-Polynesian,Papunesia,-3.0,128.333333333,Indonesia,
alq,Algonquin,Algic,Algonquian,North America,46.0,-77.0,Canada,
alr,Alutor,Chukotko-Kamchatkan,Northern Chukotko-Kamchatkan,Eurasia,61.0,165.0,Russia,
als,Tosk Albanian,Indo-European,Albanian,Eurasia,,,,Fusional
alt,Altai (Southern),Altaic,Turkic,Eurasia,51.0,87.0,Russia,
alu,'Are'are,Austronesian,Oceanic,Papunesia,-9.25,161.166666667,Solomon Islands,
aly,Alyawarra,Pama-Nyungan,Central Pama-Nyungan,Australia,-22.5,135.0,Australia,
amc,Amahuaca,Pano-Tacanan,Panoan,South America,-10.5,-72.5,Brazil; Peru,
ame,Amuesha,Arawakan,Yanesha',South America,-10.5,-75.4166666667,Peru,
amf,Hamer,Afro-Asiatic,South Omotic,Africa,5.0,36.5,Ethiopia,
amh,Amharic,Afro-Asiatic,Semitic,Africa,10.0,38.0,Ethiopia,Introflexive
ami,Amis,Austronesian,East Formosan,Papunesia,23.3333333333,121.333333333,Taiwan,
amk,Ambai,Austronesian,South Halmahera - West New Guinea,Papunesia,-1.83333333333,136.5,Indonesia,
amm,Ama,Left May,Left May,Papunesia,-4.21666666667,141.616666667,Papua New Guinea,
amn,Amanab,Border,Border,Papunesia,-3.58333333333,141.25,Papua New Guinea,
amo,Amo,Niger-Congo,Central Kainji,Africa,10.3333333333,8.66666666667,Nigeria,
amp,Alamblak,Sepik,Sepik Hill,Papunesia,-4.66666666667,143.333333333,Papua New Guinea,
amr,Amarakaeri,Harakmbet,Harakmbet,South America,-12.5,-70.5,Peru,
amu,Amuzgo,Oto-Manguean,Amuzgoan,North America,16.8333333333,-98.0,Mexico,
amy,Emmi,Western Daly,Wagaydy,Australia,-13.5,130.0,Australia,
anc,Angas,Afro-Asiatic,West Chadic,Africa,9.5,9.5,Nigeria,
ane,Xârâcùù,Austronesian,Oceanic,Papunesia,-21.6666666667,166.0,New Caledonia,
anh,Nend,Trans-New Guinea,Sogeram,Papunesia,-5.0,144.916666667,Papua New Guinea,
ani,Andi,Nakh-Daghestanian,Avar-Andic-Tsezic,Eurasia,42.75,46.25,Russia,
ank,Goemai,Afro-Asiatic,West Chadic,Africa,8.66666666667,9.75,Nigeria,
ann,Obolo,Niger-Congo,Lower Cross,Africa,4.58333333333,7.83333333333,Nigeria,
ano,Andoke,Andoke,Andoke,South America,-0.666666666667,-72.0,Colombia,
anq,Jarawa (in Andamans),South Andamanese,South Andamanese,Eurasia,12.0,92.5833333333,India,
anu,Anywa,Eastern Sudanic,Western Nilotic,Africa,8.0,33.5,Ethiopia; South Sudan,
any,Anyi,Niger-Congo,Tano,Africa,7.0,-3.5,Côte d'Ivoire,
anz,Anêm,Anêm,Anêm,Papunesia,-5.58333333333,149.083333333,Papua New Guinea,
aoa,Angolar,other,Creoles and Pidgins,Africa,0.25,6.5,São Tomé e Príncipe,
