filename,lang,reason
ach_newscrawl_2011_20260404141239.csv,ach,65.8% hapax overlap with ach_glot500_latn.csv
afr-za_web_2013_20260404141524.csv,afr,43.9% hapax overlap with afr_mixed_2019_20260404141355.csv
afr-za_web_2019_20260404141550.csv,afr,39.1% hapax overlap with afr_mixed_2019_20260404141355.csv
afr_mixed_2013_20260404141249.csv,afr,78.3% hapax overlap with afr_mixed_2014_20260404141316.csv
afr_mixed_2014_20260404141316.csv,afr,74.5% hapax overlap with afr_mixed_2019_20260404141355.csv
afr_wikipedia_2018_300K_20260404141450.csv,afr,54.8% hapax overlap with afr_wikipedia_2021_20260404141459.csv
aii_wikipedia_2012_20260404142712.csv,aii,37.6% hapax overlap with aii_wikipedia_2021_20260404142718.csv
aka_wikipedia_2012_20260404141558.csv,aka,70.5% hapax overlap with aka_wikipedia_2018_20260404141603.csv
amh_wikipedia_2011_20260404141715.csv,amh,70.3% hapax overlap with amh_community_2017_20260404141708.csv
amh_wikipedia_2018_30K_20260404141721.csv,amh,60.4% hapax overlap with amh_wikipedia_2021_20260404141728.csv
amh_wikipedia_2021_20260404141728.csv,amh,46.1% hapax overlap with amh_community_2017_20260404141708.csv
ang_wikipedia_2012_20260405082214.csv,ang,44.2% hapax overlap with ang_wikipedia_2021_20260405082219.csv
ara_wikipedia_2018_1M_20260404141920.csv,ara,44.2% hapax overlap with ara_wikipedia_2021_20260404141945.csv
arg_wikipedia_2018_30K_20260404142513.csv,arg,44.2% hapax overlap with arg_wikipedia_2021_20260404142520.csv
arz_wikipedia_2011_20260404163602.csv,arz,49.7% hapax overlap with arz_wikipedia_2021_20260404163609.csv
asm_community_2017_20260404142643.csv,asm,43.8% hapax overlap with asm_wikipedia_2021_20260404142704.csv
asm_wikipedia_2012_20260404142650.csv,asm,47.0% hapax overlap with asm_community_2017_20260404142643.csv
asm_wikipedia_2018_30K_20260404142657.csv,asm,48.7% hapax overlap with asm_community_2017_20260404142643.csv
ast_wikipedia_2018_300K_20260405072550.csv,ast,43.6% hapax overlap with ast_wikipedia_2021_20260405072559.csv
ava_wikipedia_2012_20260404142723.csv,ava,61.9% hapax overlap with ava_wikipedia_2021_20260404142729.csv
aym_wikipedia_2012_20260404142735.csv,aym,56.7% hapax overlap with aym_wikipedia_2021_20260404142742.csv
aze_wikipedia_2018_1M_20260404143052.csv,aze,61.5% hapax overlap with aze_wikipedia_2021_20260404143108.csv
