used_shortcut,name,alternative_name,ud_name,leipzig_shortcut,ud_shortcut,til_shortcut,wals_shortcut,iso_code,primary_script,primary_script_pct,secondary_script,secondary_script_pct,distinct_words,total_frequency,family,genus,macroarea,latitude,longitude,countries,data_sources
abk,Abkhazian,Abkhaz,Abkhaz,abk,Abkhaz,,abk,abk,Cyrillic,95.89,Latin,3.91,21361,66806,Northwest Caucasian,Northwest Caucasian,Eurasia,43.0833333333,41.0,Georgia,"glot500, wikipedia"
ace,Achinese,Acehnese,,ace,,,ace,ace,Latin,99.39,,0.0,13702,100432,Austronesian,Malayo-Sumbawan,Eurasia,5.5,95.5,Indonesia,"glot500, wikipedia"
ach,Acoli,Acholi,,ach,,,ach,ach,Latin,100.0,,0.0,1522,4952,Eastern Sudanic,Western Nilotic,Africa,3.0,32.6666666667,Uganda; South Sudan,"glot500, newscrawl"
afr,Afrikaans,,,afr,,,afr,afr,Latin,99.93,,0.0,2763964,321220118,Indo-European,Germanic,Africa,-31.0,22.0,South Africa,"bible, glot500, mixed, news, web, wikipedia"
aii,Assyrian Neo-Aramaic,Neo-Aramaic (Assyrian),Assyrian,aii,Assyrian,,aii,aii,Syriac,97.43,Latin,1.39,6584,13988,Afro-Asiatic,Semitic,Eurasia,36.0,41.0,Syria,wikipedia
aka,Akan,,,aka,,,aka,aka,Latin,98.14,Greek,1.42,3814,17315,Niger-Congo,Tano,Africa,6.5,-1.25,Ghana,"glot500, wikipedia"
als,Tosk Albanian,,,als,,,,als,Latin,99.89,,0.0,512687,31761732,,,,,,,"glot500, web"
alt,Southern Altai,Altai (Southern),,alt,,alt,alt,alt,Cyrillic,99.03,Latin,0.97,8321,31348,Altaic,Turkic,Eurasia,51.0,87.0,Russia,"glot500, wikipedia"
amh,Amharic,,,amh,,,amh,amh,Ethiopic,99.01,Latin,0.88,205832,1037561,Afro-Asiatic,Semitic,Africa,10.0,38.0,Ethiopia,"bible, community, glot500, wikipedia"
ang,Old English,,,ang,,,,ang,Latin,99.86,,0.0,27679,105301,,,,,,,wikipedia
anw,Anaang,,,anw,,,,anw,Latin,99.03,Greek,0.66,52668,409670,,,,,,,community
ara,Arabic,,,ara,,,,ara,Arabic,95.71,Latin,1.41,5622059,563649399,,,,,,,"bible, glot500, news, newscrawl, newscrawl-OSIAN, web, wikipedia"
arg,Aragonese,,,arg,,,,arg,Latin,99.66,,0.0,90799,1236933,,,,,,,"glot500, wikipedia"
arz,Egyptian Arabic,Arabic (Egyptian),,arz,,,arz,arz,Arabic,79.85,Latin,20.03,216151,3100369,Afro-Asiatic,Semitic,Africa,30.0,31.0,Egypt,"glot500, wikipedia"
