file,language,dominant_script,dominant_pct,top_scripts
abk_glot500_cyrl.csv,abk,Cyrillic,99.9,Cyrillic 99.9%; Latin 0.1%; Greek 0.0%; Arabic 0.0%
abk_wikipedia_2012_20260404141204.csv,abk,Cyrillic,95.22,Cyrillic 95.2%; Latin 4.5%; Georgian 0.2%; Armenian 0.1%
abk_wikipedia_2021_20260404141210.csv,abk,Cyrillic,96.56,Cyrillic 96.6%; Latin 3.3%; Greek 0.1%; Hebrew 0.0%
ace_glot500_latn.csv,ace,Latin,99.42,Latin 99.4%; Arabic 0.4%; Han 0.1%; Cyrillic 0.1%
ace_wikipedia_2021_20260404141234.csv,ace,Latin,99.39,Latin 99.4%; Arabic 0.4%; Cyrillic 0.1%; Greek 0.0%
ach_glot500_latn.csv,ach,Latin,100.0,Latin 100.0%
ach_newscrawl_2011_20260404141239.csv,ach,Latin,100.0,Latin 100.0%
acm_glot500_arab.csv,acm,Arabic,93.52,Arabic 93.5%; Latin 6.5%; Hangul 0.0%; Cyrillic 0.0%
acr_glot500_latn.csv,acr,Latin,98.29,Latin 98.3%; Unknown 1.7%
ada_glot500_latn.csv,ada,Latin,100.0,Latin 100.0%
afb_glot500_arab.csv,afb,Arabic,89.91,Arabic 89.9%; Latin 10.1%; Hebrew 0.0%; Hangul 0.0%
afr-na_web_2013_20260404141508.csv,afr,Latin,100.0,Latin 100.0%
afr-na_web_2019_20260404141514.csv,afr,Latin,100.0,Latin 100.0%; Greek 0.0%
afr-ud.csv,afr,Latin,100.0,Latin 100.0%
afr-za_web_2018_1M_20260404141540.csv,afr,Latin,99.93,Latin 99.9%; Greek 0.1%; Cyrillic 0.0%; Hebrew 0.0%
afr_bible.csv,afr,Latin,100.0,Latin 100.0%
afr_glot500_latn.csv,afr,Latin,99.76,Latin 99.8%; Cyrillic 0.1%; Greek 0.0%; Han 0.0%
afr_mixed_2019_20260404141355.csv,afr,Latin,99.79,Latin 99.8%; Greek 0.1%; Cyrillic 0.1%; Han 0.0%
afr_news_2019_20260404141438.csv,afr,Latin,100.0,Latin 100.0%
afr_news_2020_20260404141443.csv,afr,Latin,100.0,Latin 100.0%
afr_wikipedia_2021_20260404141459.csv,afr,Latin,99.68,Latin 99.7%; Cyrillic 0.1%; Greek 0.1%; Han 0.0%
ahk_glot500_latn.csv,ahk,Latin,90.14,Latin 90.1%; Unknown 9.9%
aii_wikipedia_2021_20260404142718.csv,aii,Syriac,97.43,Syriac 97.4%; Latin 1.4%; Arabic 0.8%; Greek 0.2%
ajp_glot500_arab.csv,ajp,Arabic,91.67,Arabic 91.7%; Latin 8.3%
aka_glot500_latn.csv,aka,Latin,98.97,Latin 99.0%; Cyrillic 0.4%; Greek 0.3%; Unknown 0.3%
aka_wikipedia_2018_20260404141603.csv,aka,Latin,98.14,Latin 98.1%; Greek 1.4%; Cyrillic 0.3%; Arabic 0.1%
aln_glot500_latn.csv,aln,Latin,100.0,Latin 100.0%
als-al_web_2015_20260404184649.csv,als,Latin,99.89,Latin 99.9%; Cyrillic 0.1%; Greek 0.0%; Armenian 0.0%
als_glot500_latn.csv,als,Latin,99.83,Latin 99.8%; Cyrillic 0.1%; Greek 0.1%; Hebrew 0.0%
alt_glot500_cyrl.csv,alt,Cyrillic,99.97,Cyrillic 100.0%; Latin 0.0%
alt_wikipedia_2021_20260404180710.csv,alt,Cyrillic,99.03,Cyrillic 99.0%; Latin 1.0%
amh-ud.csv,amh,Ethiopic,100.0,Ethiopic 100.0%
amh_bible.csv,amh,Ethiopic,99.97,Ethiopic 100.0%; Latin 0.0%
amh_community_2017_20260404141708.csv,amh,Ethiopic,97.07,Ethiopic 97.1%; Latin 2.6%; Greek 0.1%; Arabic 0.1%
amh_glot500_ethi.csv,amh,Ethiopic,94.52,Ethiopic 94.5%; Latin 5.4%; Arabic 0.1%; Cyrillic 0.0%
ang-ud.csv,ang,Latin,100.0,Latin 100.0%
