file,distinct_words,total_frequency,cov_50_types,cov_50_tokens,cov_55_types,cov_55_tokens,cov_60_types,cov_60_tokens,cov_65_types,cov_65_tokens,cov_70_types,cov_70_tokens,cov_72_types,cov_72_tokens,cov_74_types,cov_74_tokens,cov_76_types,cov_76_tokens,cov_78_types,cov_78_tokens,cov_80_types,cov_80_tokens,cov_81_types,cov_81_tokens,cov_82_types,cov_82_tokens,cov_83_types,cov_83_tokens,cov_84_types,cov_84_tokens,cov_85_types,cov_85_tokens,cov_86_types,cov_86_tokens,cov_87_types,cov_87_tokens,cov_88_types,cov_88_tokens,cov_89_types,cov_89_tokens,cov_90_types,cov_90_tokens,cov_90_5_types,cov_90_5_tokens,cov_91_types,cov_91_tokens,cov_91_5_types,cov_91_5_tokens,cov_92_types,cov_92_tokens,cov_92_5_types,cov_92_5_tokens,cov_93_types,cov_93_tokens,cov_93_5_types,cov_93_5_tokens,cov_94_types,cov_94_tokens,cov_94_5_types,cov_94_5_tokens,cov_95_types,cov_95_tokens,cov_95_5_types,cov_95_5_tokens,cov_96_types,cov_96_tokens,cov_96_5_types,cov_96_5_tokens,cov_97_types,cov_97_tokens,cov_97_5_types,cov_97_5_tokens,cov_98_types,cov_98_tokens,cov_98_5_types,cov_98_5_tokens,cov_99_types,cov_99_tokens,cov_99_5_types,cov_99_5_tokens,cov_100_types,cov_100_tokens,freq100_types,freq100_tokens,freq10_types,freq10_tokens,rank5pct_types,rank5pct_tokens,rank30pct_types,rank30pct_tokens
abk,21361,66806,1159,33405,1664,36744,2368,40086,3335,43424,4633,46765,5301,48101,5969,49437,6637,50773,7305,52109,8000,53445,8668,54113,9336,54781,10004,55449,10673,56118,11341,56786,12009,57454,12677,58122,13345,58790,14013,59458,14681,60126,15015,60460,15349,60794,15683,61128,16017,61462,16351,61796,16685,62130,17019,62464,17353,62798,17687,63132,18021,63466,18355,63800,18689,64134,19023,64468,19357,64802,19691,65136,20025,65470,20359,65804,20693,66138,21027,66472,21361,66806,54,10868,920,31364,1068,32677,6408,50315
ace,13702,100432,55,50334,92,55254,158,60303,262,65289,435,70322,532,72318,654,74324,807,76340,993,78343,1235,80347,1382,81351,1550,82359,1747,83360,1977,84366,2228,85370,2536,86374,2870,87376,3246,88382,3748,89386,4250,90390,4501,90892,4752,91394,5166,91896,5668,92398,6170,92900,6672,93402,7174,93904,7677,94407,8179,94909,8681,95411,9183,95913,9685,96415,10187,96917,10690,97420,11192,97922,11694,98424,12196,98926,12698,99428,13200,99930,13702,100432,97,55777,993,78343,685,74770,4110,90110
ach,1522,4952,116,2478,156,2728,208,2975,273,3221,355,3467,398,3566,448,3666,497,3764,547,3864,596,3962,621,4012,646,4062,681,4111,730,4160,780,4210,829,4259,879,4309,928,4358,978,4408,1027,4457,1052,4482,1077,4507,1102,4532,1126,4556,1151,4581,1176,4606,1201,4631,1225,4655,1250,4680,1275,4705,1300,4730,1324,4754,1349,4779,1374,4804,1399,4829,1423,4853,1448,4878,1473,4903,1498,4928,1522,4952,2,366,76,2152,76,2152,456,3682
afr,2763964,321220118,77,160854594,133,176819630,241,192772298,435,208854892,771,224881767,975,231299850,1232,237704341,1560,244134668,1976,250556016,2514,256985541,2847,260194033,3234,263405019,3683,266614903,4211,269826783,4841,273040512,5600,276250889,6522,279462682,7659,282675924,9090,285886428,10908,289098107,12008,290705005,13262,292310824,14700,293917074,16376,295523178,18334,297128971,20654,298734791,23443,300340815,26850,301947222,31080,303553339,36441,305159267,43479,306765309,53014,308371396,66482,309977455,86683,311583569,119361,313189620,177680,314795723,295016,316401820,568185,318007918,1231235,319614018,2763964,321220118,66297,309959140,294478,316396978,138198,313824901,829189,318809926
aii,6584,13988,703,6996,977,7694,1327,8394,1689,9093,2388,9792,2668,10072,2948,10352,3227,10631,3507,10911,3787,11191,3927,11331,4067,11471,4207,11611,4346,11750,4486,11890,4626,12030,4766,12170,4906,12310,5046,12450,5186,12590,5256,12660,5326,12730,5396,12800,5465,12869,5535,12939,5605,13009,5675,13079,5745,13149,5815,13219,5885,13289,5955,13359,6025,13429,6095,13499,6165,13569,6235,13639,6305,13709,6375,13779,6445,13849,6515,13919,6584,13988,7,1332,145,4347,329,5578,1975,9379
aka,3814,17315,99,8661,143,9526,206,10389,300,11260,429,12123,497,12469,579,12814,676,13161,791,13506,918,13853,1005,14027,1091,14199,1178,14373,1264,14545,1351,14719,1437,14891,1564,15065,1737,15238,1910,15411,2083,15584,2170,15671,2256,15757,2343,15844,2429,15930,2516,16017,2602,16103,2689,16190,2776,16277,2862,16363,2949,16450,3035,16536,3122,16623,3208,16709,3295,16796,3382,16883,3468,16969,3555,17056,3641,17142,3728,17229,3814,17315,18,5287,244,10780,190,10202,1144,14305
als,512687,31761732,164,15889593,343,17474854,652,19058550,1151,20645283,1936,22234817,2365,22868721,2884,23503954,3524,24139634,4312,24774625,5293,25409764,5873,25727067,6524,26044786,7260,26362342,8095,26680165,9050,26997709,10150,27315123,11434,27632790,12941,27950406,14734,28268065,16906,28585634,18168,28744421,19573,28903221,21147,29062063,22916,29220859,24924,29379621,27222,29538469,29872,29697262,32972,29856059,36628,30014870,40999,30173662,46346,30332464,53033,30491272,61649,30650087,73141,30808887,89230,30967693,112973,31126498,151296,31285308,218156,31444116,353879,31602924,512687,31761732,20544,29003434,82438,30907992,25634,29431133,153806,31292838
alt,8321,31348,348,15682,474,17244,651,18815,897,20378,1249,21944,1424,22572,1633,23199,1847,23825,2161,24453,2474,25079,2631,25393,2788,25707,2992,26019,3306,26333,3619,26646,3933,26960,4246,27273,4560,27587,4873,27900,5187,28214,5343,28370,5500,28527,5657,28684,5814,28841,5970,28997,6127,29154,6284,29311,6441,29468,6597,29624,6754,29781,6911,29938,7068,30095,7224,30251,7381,30408,7538,30565,7695,30722,7851,30878,8008,31035,8165,31192,8321,31348,26,5081,518,17691,416,16586,2496,25123
amh,205832,1037561,2561,518789,4039,570683,6353,622539,9967,674425,15657,726299,18791,747045,22550,767796,27083,788548,32272,809300,39189,830051,42647,840425,46713,850802,51900,861176,57088,871552,62276,881928,67464,892304,72652,902680,81325,913054,91701,923430,102076,933805,107264,938993,112452,944181,117640,949369,122828,954557,128015,959744,133203,964932,138391,970120,143579,975308,148767,980496,153954,985683,159142,990871,164330,996059,169518,1001247,174706,1006435,179893,1011622,185081,1016810,190269,1021998,195457,1027186,200645,1032374,205832,1037561,1088,423812,12116,696991,10291,678050,61749,880874
ang,27679,105301,306,52662,563,57917,1007,63181,1743,68449,2905,73712,3561,75817,4263,77923,5234,80029,6287,82135,7340,84241,7867,85295,8725,86347,9778,87400,10831,88453,11884,89506,12937,90559,13990,91612,15043,92665,16096,93718,17149,94771,17676,95298,18202,95824,18729,96351,19255,96877,19782,97404,20308,97930,20835,98457,21361,98983,21888,99510,22414,100036,22941,100563,23467,101089,23994,101616,24520,102142,25047,102669,25573,103195,26100,103722,26626,104248,27153,104775,27679,105301,88,41824,973,62875,1383,66184,8303,85925
anw,52668,409670,75,204981,165,225346,369,245826,766,266321,1531,286784,1996,294967,2585,303166,3331,311350,4274,319546,5477,327736,6177,331836,6996,335931,7901,340028,8925,344124,10003,348220,11369,352318,12734,356413,14407,360511,16455,364607,18503,368703,19528,370753,20552,372801,21576,374849,22600,376897,23624,378945,24649,380995,26040,383042,28088,385090,30137,387139,32185,389187,34233,391235,36282,393284,38330,395332,40378,397380,42427,399429,44475,401477,46523,403525,48572,405574,50620,407622,52668,409670,256,236338,3424,312280,2633,303742,15800,363297
ara,5622059,563649399,1738,281854168,2560,310030803,3730,338190318,5424,366374826,7992,394562110,9381,405828228,11058,417104787,13116,428375409,15659,439649496,18851,450921737,20764,456556909,22946,462193529,25436,467829249,28300,473466426,31618,479103297,35503,484739673,40085,490376011,45558,496012389,52186,501648253,60343,507284924,65169,510102956,70620,512921194,76804,515739262,83881,518557640,92070,521375951,101658,524194045,112986,527012329,126501,529830468,142882,532648800,163119,535466977,188678,538285203,221820,541103490,266293,543921680,328454,546739939,420307,549558177,566769,552376419,827760,555194662,1368376,558012908,2803813,560831153,5622059,563649399,186644,538084731,740396,554445067,281102,544689249,1686617,558967631
arg,90799,1236933,95,618471,189,680513,362,742393,657,804038,1166,865900,1467,890594,1855,915378,2347,940093,2974,964826,3786,989547,4283,1001926,4858,1014292,5526,1026665,6305,1039034,7217,1051402,8285,1063766,9543,1076133,11016,1088503,12774,1100873,14935,1113243,16172,1119428,17539,1125612,19085,1131796,20631,1137980,22608,1144166,24669,1150349,26731,1156535,29497,1162719,32589,1168903,35681,1175087,38774,1181273,41866,1187457,47507,1193641,53692,1199826,59876,1206010,66061,1212195,72246,1218380,78430,1224564,84615,1230749,90799,1236933,1100,859576,9194,1072992,4539,1007665,27239,1158059
