word,frequency,lemma
ف ي,21110911,
م ن,15066143,
على,9116461,
أ ن,6143138,
ع ن,3457157,
م ع,2561119,
الذي,2254625,
م ا,2172698,
هذا,2028071,
هذه,1898190,
ل ا,1852178,
بعد,1707192,
بين,1533723,
خلال,1348122,
و,1311278,
كما,1226341,
ا ن,1215442,
إ ن,1134973,
ل م,1132837,
عام,1065944,
ذلك,1006599,
ق د,942408,
اليوم,902390,
وفي,823459,
العام,755186,
ت م,752116,
أ ي,724316,
حتى,662636,
ه ي,659390,
عدد,606133,
يوم,601406,
حول,590439,
ب ن,561864,
الذي ن,541751,
هناك,517153,
ل ه,504069,
الله,492047,
العالم,477363,
مثل,441628,
محمد,440128,
وزير,430291,
الوطن ي,427233,
مجلس,419013,
فيما,383696,
وأضاف,367791,
الجيش,339921,
الولايات,336712,
الاتحاد,334266,
عند,313645,
الوقت,308967,
فقط,305038,
فقد,292059,
جديد ة,292019,
حالة,277317,
مما,269864,
مستوى,246899,
ضمن,235119,
انه,220326,
أعلن,213193,
بينما,212514,
موقع,192597,
شمال,192024,
الثلاثاء,185045,
وما,182385,
الجديد ة,162432,
جنوب,157977,
وأشار,149953,
العملي ة,146329,
ف ى,145712,
تقديم,141690,
المنتخب,139130,
الأطفال,125154,
مقتل,125052,
نتائج,112750,
المرأة,112709,
الدكتور,109437,
ه م,108905,
صباح,107641,
إجراء,104923,
مباشر ة,97211,
رفع,96842,
شخصا,94772,
رفض,92456,
قائد,88205,
وبالتالي,83857,
البلدي ن,82420,
سبيل,82411,
أزمة,79500,
الإسلام ي,79321,
تغيير,77910,
وإن,77473,
الدراسة,76304,
السيارات,73249,
فبراير,72882,
الحالي ة,72387,
يأتي,68848,
دينا ر,66891,
الشؤون,66446,
الإصابة,65204,
بالقرب,64167,
التعامل,62381,
يجري,60000,
البريطاني,56707,
المادة,56672,
تمكن,56005,
سبق,55040,
مدرس ة,52963,
بحيث,52176,
مساعد ة,46043,
الهند,43055,
جورج,41324,
بصفة,41013,
التاسع,40979,
الجماع ة,37252,
التحديات,30546,
تقييم,30489,
نفسه،,29868,
ش ن,24641,
التعليمي ة,23713,
فتاة,22116,
سفر,22004,
بفعل,20679,
الجامعي ة,20541,
علاوة,18408,
الصحفي ة,17773,
والثاني,17326,
الخبر ة,16189,
مصري ة,16002,
عزل,15930,
بمقدار,15838,
وشمال,15476,
دفعت,15339,
الصعوبات,14815,
ناسف ة,14719,
الصفاقسي,13883,
وردا,11797,
تعديلا ت,11460,
لاحقاً,11359,
الربا ط,10409,
والقضاء,10251,
تقيم,9236,
وتساءل,9172,
وبهذه,8855,
غازي,8851,
المستقبل،,7955,
اللوح ة,7927,
الطاقة،,7607,
أصدرت ه,7494,
البعض،,7437,
رداً,7080,
المؤامرة,6798,
الأسبوعي ة,6589,
المعمار ي,6189,
والجدي ر,5748,
داخل ي ا,5196,
صنعاء،,5158,
قضائي ا,4780,
بوفاة,4724,
الحرج ة,4667,
المعتاد ة,4493,
لحكم,4334,
الاولي ة,4253,
بأمان,3340,
بافاريا,3136,
دج،,3047,
لشرح,2896,
أراضي ه,2883,
بصفوف,2760,
وكسب,2733,
جده,2690,
متخصصي ن,2269,
الشاسع ة,1855,
والحضور,1790,
الأظافر,1679,
يضبط,1638,
كيفي ن,1479,
فارغ,1434,
وتنظر,1277,
وغرد,1253,
رداء ة,1123,
مؤسسات ه م,1111,
الحازم,1103,
بالإرهاب،,1067,
يلهم,1033,
قدم،,1023,
القاطرة,978,
ب12,942,
بالإيجاب,930,
و المستوطنين,912,
الكوكب،,881,
تشخيص ه,833,
قريش ي,823,
احتجاجات ه م,748,
الأعطال,745,
رأيت م,700,
الارشاد,544,
الملهم ة,492,
متواضعة،,444,
الشام بو,431,
الماريغوانا,369,
