word,frequency,lemma
@la,4661935,
@de,2356875,
@kaj,1731356,
@en,1309911,
@est as,825743,
@al,653894,
@li,487563,
@ne,484097,
@est is,445145,
@por,444519,
@mi,406901,
@ke,393146,
@kun,301469,
@pri,296958,
@kiel,271428,
@sed,268406,
@el,267398,
@ĝi,252210,
@ki u,247996,
@ili,228674,
@ti u,212214,
@vi,179019,
@ti o,169389,
@aŭ,152261,
@plej,136139,
@post,121186,
@unu,112744,
@inter,99895,
@si a,97140,
@se,96987,
@ĉar,94500,
@li a,94474,
@je,91534,
@ti u j,85560,
@du,82772,
@ĉu,82093,
@ĝi n,80360,
@mi a,58264,
@hom o j,52756,
@ki o,47304,
@ti u n,45223,
@ĉi u,44929,
@temp o,39035,
@j a,36997,
@nom o,35938,
@plu,29586,
@vi a,29269,
@jen,26958,
@komun um o,26704,
@du a,25989,
@ekzempl e,25059,
@far iĝ is,24766,
@neni u,22653,
@nek,21343,
@lok o,20833,
@ambaŭ,20201,
sin @jor o,20170,
@person o j,19787,
@ti om,19673,
@region o,18431,
@last a,17550,
@jes,17465,
@far as,16766,
@loĝ ant o j,15844,
@ang l a,14507,
@ebl as,14337,
@montr as,14327,
@antaŭ e,13872,
@ir is,13849,
@dir i,13739,
@ti a j,13183,
@loĝ ant ar o,13074,
@rest as,12979,
@nom e,12558,
@respond is,12322,
@unu a j,11811,
@vir o,11139,
@pov os,11068,
@asoci o,10135,
@simple,9516,
@kon as,9351,
@lern ej o,9332,
@anstataŭ,8161,
@ni a n,8099,
@revu o,7951,
@simpl a,7152,
@projekt o,6960,
@oficial a,6927,
@mond @milit o,6268,
@esper ant ist o,6139,
@cert a,5671,
mal @bon a,5665,
@supr a,5627,
@fest o,4842,
@form o j,4821,
@reĝ a,4772,
@lud as,4688,
@fort o j,4568,
@bek o,4329,
@vort ar o,4133,
@john,3923,
@tradici o,3425,
@sekci o,3264,
@pret a,3101,
@ju,3031,
@real a,2940,
@pasint a,2868,
@ŝanĝ o j,2811,
supoz ebl e,2625,
@ten a s,2625,
@jan,2420,
@vizit ant o j,2382,
@eŭr o j,2321,
@nigr a n,2254,
@ŝtat a j,2224,
@priskrib i s,2175,
@politik o n,2158,
@ĝu i,2087,
@bord o j,1999,
@rilat o n,1992,
@statu o,1901,
@disk o,1763,
@pec o,1756,
@tekst o j n,1750,
@pan o,1722,
@pentr aĵ o,1642,
@reĝ o n,1617,
@kg,1589,
@prov o j,1581,
@reg ant o j,1576,
@dialog o,1510,
@difin i,1500,
mal @aper as,1412,
@gigant a,1307,
@hav ig is,1240,
@trink is,1218,
@lign a j,1147,
@aviad il o j,1141,
@kardinal o,1120,
@kolekt as,1038,
@kin o,1019,
@unu o,961,
@soci aj n,953,
@fin a n,910,
@york,845,
insist is,829,
@manusript o,816,
@stadi o,804,
@okcident e n,799,
@respond ec ul o,748,
@port ant e,697,
@sabat o,683,
@frat ec o,647,
@riĉ e,618,
@spegul as,611,
@griz a n,578,
@trapas i,569,
@manifestaci o,560,
@aktiv ul o,527,
dis @volv as,488,
@goethe,462,
@mort iĝ is,446,
ne @ordinar a,444,
@medit ad o,442,
@real o n,420,
anti @bakteri a j n,354,
@real ig it aj,318,
@voj aĝ ad o,309,
@nombr a j n,259,
@fork o,225,
@urb o part o j,210,
@helen e,208,
@apart aĵ o,206,
@velur a,198,
@komand o n,179,
mal @prav a,169,
@praktik ant o j,160,
@infekt iĝ o,146,
ne @kapabl o,146,
@edik t o,140,
@kolbas o,128,
@ml,120,
@stok o n,116,
@ĉirkaû e n,115,
@rond @vetur o,111,
@gvid ant a j,105,
antaŭ @sent is,94,
@kombin ant e,92,
@ŝtat @perfid o,88,
@kaŭzat a j,83,
@sintezit a,73,
@ver aĵ o,67,
el @don iĝ as,66,
@ripoz ej o j n,64,
@mok @bird o,58,
@kaduk a n,58,
