lang,file_a,file_b,hapaxes_a,hapaxes_b,overlap,share_a_pct,share_b_pct
abk,abk_glot500_cyrl.csv,abk_wikipedia_2012_20260404141204.csv,585598,5843,812,0.14,13.9
abk,abk_glot500_cyrl.csv,abk_wikipedia_2021_20260404141210.csv,585598,11922,3353,0.57,28.12
abk,abk_wikipedia_2012_20260404141204.csv,abk_wikipedia_2021_20260404141210.csv,5843,11922,1632,27.93,13.69
ace,ace_glot500_latn.csv,ace_wikipedia_2021_20260404141234.csv,41805,8862,2645,6.33,29.85
ach,ach_glot500_latn.csv,ach_newscrawl_2011_20260404141239.csv,1162,862,567,48.8,65.78
afr,afr_mixed_2013_20260404141249.csv,afr_mixed_2014_20260404141316.csv,747526,1113789,585645,78.34,52.58
afr,afr_mixed_2014_20260404141316.csv,afr_mixed_2019_20260404141355.csv,1113789,1550976,829210,74.45,53.46
afr,afr_mixed_2013_20260404141249.csv,afr_mixed_2019_20260404141355.csv,747526,1550976,488268,65.32,31.48
afr,afr-za_web_2013_20260404141524.csv,afr_mixed_2014_20260404141316.csv,486046,1113789,270424,55.64,24.28
afr,afr_wikipedia_2018_300K_20260404141450.csv,afr_wikipedia_2021_20260404141459.csv,147679,237663,80982,54.84,34.07
afr,afr-za_web_2013_20260404141524.csv,afr_mixed_2013_20260404141249.csv,486046,747526,222510,45.78,29.77
afr,afr-za_web_2013_20260404141524.csv,afr_mixed_2019_20260404141355.csv,486046,1550976,213518,43.93,13.77
afr,afr-za_web_2019_20260404141550.csv,afr_mixed_2019_20260404141355.csv,178499,1550976,69867,39.14,4.5
afr,afr_mixed_2019_20260404141355.csv,afr_wikipedia_2018_300K_20260404141450.csv,1550976,147679,54347,3.5,36.8
afr,afr-za_web_2018_1M_20260404141540.csv,afr_mixed_2019_20260404141355.csv,266590,1550976,83890,31.47,5.41
afr,afr_mixed_2019_20260404141355.csv,afr_wikipedia_2021_20260404141459.csv,1550976,237663,74660,4.81,31.41
afr,afr-na_web_2019_20260404141514.csv,afr_mixed_2019_20260404141355.csv,62805,1550976,18146,28.89,1.17
afr,afr_mixed_2014_20260404141316.csv,afr_wikipedia_2018_300K_20260404141450.csv,1113789,147679,42085,3.78,28.5
afr,afr_mixed_2013_20260404141249.csv,afr_wikipedia_2018_300K_20260404141450.csv,747526,147679,36522,4.89,24.73
afr,afr_mixed_2014_20260404141316.csv,afr_wikipedia_2021_20260404141459.csv,1113789,237663,57003,5.12,23.98
afr,afr_mixed_2013_20260404141249.csv,afr_wikipedia_2021_20260404141459.csv,747526,237663,48650,6.51,20.47
aii,aii_wikipedia_2012_20260404142712.csv,aii_wikipedia_2021_20260404142718.csv,4866,4920,1830,37.61,37.2
aka,aka_glot500_latn.csv,aka_wikipedia_2012_20260404141558.csv,19374,1178,46,0.24,3.9
aka,aka_glot500_latn.csv,aka_wikipedia_2018_20260404141603.csv,19374,2330,161,0.83,6.91
aka,aka_wikipedia_2012_20260404141558.csv,aka_wikipedia_2018_20260404141603.csv,1178,2330,830,70.46,35.62
als,als-al_web_2015_20260404184649.csv,als_glot500_latn.csv,271446,2007083,89812,33.09,4.47
alt,alt_glot500_cyrl.csv,alt_wikipedia_2021_20260404180710.csv,10111,5425,271,2.68,5.0
amh,amh_community_2017_20260404141708.csv,amh_wikipedia_2011_20260404141715.csv,86221,47450,33336,38.66,70.26
amh,amh_wikipedia_2018_30K_20260404141721.csv,amh_wikipedia_2021_20260404141728.csv,63523,82446,38387,60.43,46.56
amh,amh_community_2017_20260404141708.csv,amh_wikipedia_2018_30K_20260404141721.csv,86221,63523,37438,43.42,58.94
amh,amh_wikipedia_2011_20260404141715.csv,amh_wikipedia_2021_20260404141728.csv,47450,82446,26258,55.34,31.85
amh,amh_wikipedia_2011_20260404141715.csv,amh_wikipedia_2018_30K_20260404141721.csv,47450,63523,26061,54.92,41.03
amh,amh_community_2017_20260404141708.csv,amh_wikipedia_2021_20260404141728.csv,86221,82446,37995,44.07,46.08
amh,amh_bible.csv,amh_glot500_ethi.csv,56175,3633358,13263,23.61,0.37
amh,amh_glot500_ethi.csv,amh_wikipedia_2021_20260404141728.csv,3633358,82446,13346,0.37,16.19
amh,amh_glot500_ethi.csv,amh_wikipedia_2018_30K_20260404141721.csv,3633358,63523,9847,0.27,15.5
amh,amh_community_2017_20260404141708.csv,amh_glot500_ethi.csv,86221,3633358,13353,15.49,0.37
amh,amh_glot500_ethi.csv,amh_wikipedia_2011_20260404141715.csv,3633358,47450,6907,0.19,14.56
amh,amh-ud.csv,amh_wikipedia_2018_30K_20260404141721.csv,849,63523,68,8.01,0.11
amh,amh-ud.csv,amh_wikipedia_2021_20260404141728.csv,849,82446,64,7.54,0.08
amh,amh-ud.csv,amh_community_2017_20260404141708.csv,849,86221,59,6.95,0.07
amh,amh-ud.csv,amh_wikipedia_2011_20260404141715.csv,849,47450,59,6.95,0.12
amh,amh-ud.csv,amh_bible.csv,849,56175,52,6.12,0.09
ang,ang-ud.csv,ang_wikipedia_2012_20260405082214.csv,89,17321,6,6.74,0.03
ang,ang-ud.csv,ang_wikipedia_2021_20260405082219.csv,89,19618,7,7.87,0.04
ang,ang_wikipedia_2012_20260405082214.csv,ang_wikipedia_2021_20260405082219.csv,17321,19618,7656,44.2,39.03
ara,ara_wikipedia_2018_1M_20260404141920.csv,ara_wikipedia_2021_20260404141945.csv,577817,1203768,255274,44.18,21.21
ara,ara_glot500_arab.csv,ara_wikipedia_2018_1M_20260404141920.csv,5376722,577817,99676,1.85,17.25
ara,ara-de_newscrawl-OSIAN_2018_20260404142120.csv,ara_news_2005-2009_20260404141744.csv,284595,522750,45558,16.01,8.72
ara,ara-com_newscrawl-OSIAN_2018_20260404142109.csv,ara-uk_newscrawl-OSIAN_2018_20260404142500.csv,172771,86622,13653,7.9,15.76
ara,ara-middleeast_newscrawl-OSIAN_2018_20260404142326.csv,ara_newscrawl_2013_1M_20260404141900.csv,292723,461621,46139,15.76,9.99
ara,ara_glot500_arab.csv,ara_wikipedia_2021_20260404141945.csv,5376722,1203768,189514,3.52,15.74
ara,ara-ir_newscrawl-OSIAN_2018_20260404142248.csv,ara-ru_newscrawl-OSIAN_2018_20260404142353.csv,269458,104491,16364,6.07,15.66
ara,ara_news_2019_20260404141805.csv,ara_news_2020_20260404141821.csv,324899,494626,50051,15.41,10.12
ara,ara-de_newscrawl-OSIAN_2018_20260404142120.csv,ara-fr_newscrawl-OSIAN_2018_20260404142211.csv,284595,190199,29136,10.24,15.32
ara,ara-middleeast_newscrawl-OSIAN_2018_20260404142326.csv,ara_news_2005-2009_20260404141744.csv,292723,522750,44388,15.16,8.49
ara,ara-com_newscrawl-OSIAN_2018_20260404142109.csv,ara-ru_newscrawl-OSIAN_2018_20260404142353.csv,172771,104491,15782,9.13,15.1
ara,ara-com_newscrawl-OSIAN_2018_20260404142109.csv,ara-international_newscrawl-OSIAN_2018_20260404142223.csv,172771,370509,25912,15.0,6.99
ara,ara-ca_newscrawl-OSIAN_2018_20260404142056.csv,ara-com_newscrawl-OSIAN_2018_20260404142109.csv,92303,172771,13825,14.98,8.0
ara,ara-com_newscrawl-OSIAN_2018_20260404142109.csv,ara_newscrawl_2013_1M_20260404141900.csv,172771,461621,25872,14.97,5.6
ara,ara-cn_newscrawl-OSIAN_2018_20260404142102.csv,ara-qa_newscrawl-OSIAN_2018_20260404142346.csv,16374,64065,2448,14.95,3.82
ara,ara-jo_newscrawl-OSIAN_2018_20260404142302.csv,ara-qa_newscrawl-OSIAN_2018_20260404142346.csv,135262,64065,9573,7.08,14.94
arg,arg_glot500_latn.csv,arg_wikipedia_2011_20260404142507.csv,263629,15521,714,0.27,4.6
arg,arg_glot500_latn.csv,arg_wikipedia_2018_30K_20260404142513.csv,263629,33627,2003,0.76,5.96
arg,arg_glot500_latn.csv,arg_wikipedia_2021_20260404142520.csv,263629,48060,3645,1.38,7.58
arg,arg_wikipedia_2011_20260404142507.csv,arg_wikipedia_2018_30K_20260404142513.csv,15521,33627,4079,26.28,12.13
arg,arg_wikipedia_2011_20260404142507.csv,arg_wikipedia_2021_20260404142520.csv,15521,48060,4197,27.04,8.73
arg,arg_wikipedia_2018_30K_20260404142513.csv,arg_wikipedia_2021_20260404142520.csv,33627,48060,14872,44.23,30.94
arz,arz_glot500_arab.csv,arz_wikipedia_2011_20260404163602.csv,881937,41552,2212,0.25,5.32
arz,arz_glot500_arab.csv,arz_wikipedia_2021_20260404163609.csv,881937,129581,9592,1.09,7.4
arz,arz_wikipedia_2011_20260404163602.csv,arz_wikipedia_2021_20260404163609.csv,41552,129581,20660,49.72,15.94
asm,asm_community_2017_20260404142643.csv,asm_glot500_beng.csv,70565,991058,5478,7.76,0.55
asm,asm_community_2017_20260404142643.csv,asm_wikipedia_2012_20260404142650.csv,70565,20273,9519,13.49,46.95
asm,asm_community_2017_20260404142643.csv,asm_wikipedia_2018_30K_20260404142657.csv,70565,44507,21683,30.73,48.72
asm,asm_community_2017_20260404142643.csv,asm_wikipedia_2021_20260404142704.csv,70565,104556,30874,43.75,29.53
asm,asm_glot500_beng.csv,asm_wikipedia_2012_20260404142650.csv,991058,20273,888,0.09,4.38
asm,asm_glot500_beng.csv,asm_wikipedia_2018_30K_20260404142657.csv,991058,44507,1753,0.18,3.94
asm,asm_glot500_beng.csv,asm_wikipedia_2021_20260404142704.csv,991058,104556,5265,0.53,5.04
asm,asm_wikipedia_2012_20260404142650.csv,asm_wikipedia_2018_30K_20260404142657.csv,20273,44507,5628,27.76,12.65
asm,asm_wikipedia_2012_20260404142650.csv,asm_wikipedia_2021_20260404142704.csv,20273,104556,5611,27.68,5.37
asm,asm_wikipedia_2018_30K_20260404142657.csv,asm_wikipedia_2021_20260404142704.csv,44507,104556,23222,52.18,22.21
ast,ast_glot500_latn.csv,ast_wikipedia_2011_20260405072543.csv,1598378,52053,3328,0.21,6.39
ast,ast_glot500_latn.csv,ast_wikipedia_2018_300K_20260405072550.csv,1598378,128099,7272,0.45,5.68
ast,ast_glot500_latn.csv,ast_wikipedia_2021_20260405072559.csv,1598378,270453,15147,0.95,5.6
ast,ast_wikipedia_2011_20260405072543.csv,ast_wikipedia_2018_300K_20260405072550.csv,52053,128099,15433,29.65,12.05
ast,ast_wikipedia_2011_20260405072543.csv,ast_wikipedia_2021_20260405072559.csv,52053,270453,14857,28.54,5.49
ast,ast_wikipedia_2018_300K_20260405072550.csv,ast_wikipedia_2021_20260405072559.csv,128099,270453,55801,43.56,20.63
ava,ava_wikipedia_2012_20260404142723.csv,ava_wikipedia_2021_20260404142729.csv,6520,14508,4036,61.9,27.82
aym,aym_glot500_latn.csv,aym_wikipedia_2012_20260404142735.csv,70420,5295,786,1.12,14.84
aym,aym_glot500_latn.csv,aym_wikipedia_2021_20260404142742.csv,70420,9945,2050,2.91,20.61
aym,aym_wikipedia_2012_20260404142735.csv,aym_wikipedia_2021_20260404142742.csv,5295,9945,3003,56.71,30.2
azb,azb_glot500_arab.csv,azb_wikipedia_2021_20260404180704.csv,13225,804,24,0.18,2.99
aze,aze_wikipedia_2018_1M_20260404143052.csv,aze_wikipedia_2021_20260404143108.csv,424410,482754,260996,61.5,54.06
aze,aze_news_2019_20260404142748.csv,aze_news_2020_20260404142821.csv,57764,30515,4605,7.97,15.09
aze,aze_glot500_latn.csv,aze_wikipedia_2021_20260404143108.csv,9766737,482754,63731,0.65,13.2
aze,aze_glot500_latn.csv,aze_wikipedia_2018_1M_20260404143052.csv,9766737,424410,54143,0.55,12.76
aze,aze_news_2019_20260404142748.csv,aze_newscrawl_2011_20260404142846.csv,57764,350766,7120,12.33,2.03
aze,aze_news_2019_20260404142748.csv,aze_wikipedia_2018_1M_20260404143052.csv,57764,424410,6430,11.13,1.52
aze,aze_news_2019_20260404142748.csv,aze_wikipedia_2021_20260404143108.csv,57764,482754,6335,10.97,1.31
aze,aze_glot500_latn.csv,aze_newscrawl_2011_20260404142846.csv,9766737,350766,37432,0.38,10.67
aze,aze_news_2020_20260404142821.csv,aze_newscrawl_2011_20260404142846.csv,30515,350766,3236,10.6,0.92
aze,aze_news_2020_20260404142821.csv,aze_wikipedia_2018_1M_20260404143052.csv,30515,424410,2829,9.27,0.67
aze,aze_news_2020_20260404142821.csv,aze_wikipedia_2021_20260404143108.csv,30515,482754,2745,9.0,0.57
aze,aze-ud.csv,aze_news_2020_20260404142821.csv,278,30515,20,7.19,0.07
aze,aze-ud.csv,aze_newscrawl_2011_20260404142846.csv,278,350766,17,6.12,0.0
aze,aze_newscrawl_2011_20260404142846.csv,aze_wikipedia_2021_20260404143108.csv,350766,482754,20401,5.82,4.23
aze,aze_newscrawl_2011_20260404142846.csv,aze_wikipedia_2018_1M_20260404143052.csv,350766,424410,19777,5.64,4.66
aze,aze_glot500_latn.csv,aze_news_2019_20260404142748.csv,9766737,57764,3124,0.03,5.41
bak,bak_community_2017_20260404143158.csv,bak_glot500_cyrl.csv,136417,1082300,34974,25.64,3.23
bak,bak_community_2017_20260404143158.csv,bak_glot500_latn.csv,136417,151402,534,0.39,0.35
bak,bak_community_2017_20260404143158.csv,bak_wikipedia_2011_20260404143206.csv,136417,17705,7204,5.28,40.69
bak,bak_community_2017_20260404143158.csv,bak_wikipedia_2018_100K_20260404143213.csv,136417,82102,15652,11.47,19.06
bak,bak_community_2017_20260404143158.csv,bak_wikipedia_2021_20260404143220.csv,136417,135906,13428,9.84,9.88
bak,bak_glot500_cyrl.csv,bak_glot500_latn.csv,1082300,151402,4990,0.46,3.3
bak,bak_glot500_cyrl.csv,bak_wikipedia_2011_20260404143206.csv,1082300,17705,924,0.09,5.22
bak,bak_glot500_cyrl.csv,bak_wikipedia_2018_100K_20260404143213.csv,1082300,82102,4942,0.46,6.02
bak,bak_glot500_cyrl.csv,bak_wikipedia_2021_20260404143220.csv,1082300,135906,9351,0.86,6.88
bak,bak_glot500_latn.csv,bak_wikipedia_2011_20260404143206.csv,151402,17705,324,0.21,1.83
bak,bak_glot500_latn.csv,bak_wikipedia_2018_100K_20260404143213.csv,151402,82102,393,0.26,0.48
bak,bak_glot500_latn.csv,bak_wikipedia_2021_20260404143220.csv,151402,135906,608,0.4,0.45
bak,bak_wikipedia_2011_20260404143206.csv,bak_wikipedia_2018_100K_20260404143213.csv,17705,82102,4165,23.52,5.07
bak,bak_wikipedia_2011_20260404143206.csv,bak_wikipedia_2021_20260404143220.csv,17705,135906,3071,17.35,2.26
bak,bak_wikipedia_2018_100K_20260404143213.csv,bak_wikipedia_2021_20260404143220.csv,82102,135906,52226,63.61,38.43
bam,bam-ud.csv,bam_glot500_latn.csv,439,35709,22,5.01,0.06
bam,bam-ud.csv,bam_wikipedia_2012_20260404143128.csv,439,3337,32,7.29,0.96
bam,bam-ud.csv,bam_wikipedia_2021_20260404143134.csv,439,3233,35,7.97,1.08
bam,bam_glot500_latn.csv,bam_wikipedia_2012_20260404143128.csv,35709,3337,388,1.09,11.63
bam,bam_glot500_latn.csv,bam_wikipedia_2021_20260404143134.csv,35709,3233,386,1.08,11.94
bam,bam_wikipedia_2012_20260404143128.csv,bam_wikipedia_2021_20260404143134.csv,3337,3233,2546,76.3,78.75
ban,ban_glot500_latn.csv,ban_wikipedia_2021_20260404143123.csv,68925,14783,4679,6.79,31.65
bar,bar-ud.csv,bar_glot500_latn.csv,3150,252288,149,4.73,0.06
bar,bar-ud.csv,bar_wikipedia_2012_20260404143304.csv,3150,89355,593,18.83,0.66
bar,bar-ud.csv,bar_wikipedia_2018_100K_20260404143311.csv,3150,129393,595,18.89,0.46
