used_shortcut,name,alternative_name,ud_name,leipzig_shortcut,ud_shortcut,til_shortcut,wals_shortcut,iso_code,primary_script,primary_script_pct,secondary_script,secondary_script_pct,distinct_words,total_frequency,family,genus,macroarea,latitude,longitude,countries,data_sources
abk,Abkhazian,Abkhaz,Abkhaz,abk,Abkhaz,,abk,abk,Cyrillic,97.23,Latin,2.63,663174,3547931,Northwest Caucasian,Northwest Caucasian,Eurasia,43.0833333333,41.0,Georgia,"glot500, wikipedia"
ace,Achinese,Acehnese,,ace,,,ace,ace,Latin,99.41,,0.0,62275,673102,Austronesian,Malayo-Sumbawan,Eurasia,5.5,95.5,Indonesia,"glot500, wikipedia"
ach,Acoli,Acholi,,ach,,,ach,ach,Latin,100.0,,0.0,1654,4780,Eastern Sudanic,Western Nilotic,Africa,3.0,32.6666666667,Uganda; South Sudan,"glot500, newscrawl"
acm,Arabic (Iraqi),,,,,,acm,acm,Arabic,93.52,Latin,6.47,102268,435441,Afro-Asiatic,Semitic,Eurasia,33.0,44.0,Iraq,glot500
acr,Achí,,,,,,acr,acr,Latin,98.29,,0.0,30726,1267303,Mayan,Mayan,North America,15.1666666667,-90.5,Guatemala,glot500
ada,,,,,,,,ada,Latin,100.0,,0.0,27,43,,,,,,,glot500
afb,Arabic (Gulf),,,,,,afb,afb,Arabic,89.91,Latin,10.08,285702,1994479,Afro-Asiatic,Semitic,Eurasia,26.0,49.0,Kuwait; Oman; Qatar; Iran; Saudi Arabia; Iraq; Bahrain,glot500
afr,Afrikaans,,,afr,,,afr,afr,Latin,99.92,,0.0,4105641,409850019,Indo-European,Germanic,Africa,-31.0,22.0,South Africa,"bible, glot500, mixed, news, web, wikipedia"
ahk,Akha,,,,,,ahk,ahk,Latin,90.14,,0.0,2208,28911,Sino-Tibetan,Burmese-Lolo,Eurasia,21.8333333333,99.8333333333,China; Thailand; Myanmar,glot500
aii,Assyrian Neo-Aramaic,Neo-Aramaic (Assyrian),Assyrian,aii,Assyrian,,aii,aii,Syriac,97.43,Latin,1.39,6584,13988,Afro-Asiatic,Semitic,Eurasia,36.0,41.0,Syria,wikipedia
ajp,Arabic (Palestinian),,,,,,ajp,ajp,Arabic,91.67,Latin,8.33,175525,1091814,Afro-Asiatic,Semitic,Eurasia,32.0,35.25,Palestinian West Bank and Gaza,glot500
aka,Akan,,,aka,,,aka,aka,Latin,98.56,Greek,0.88,33902,404530,Niger-Congo,Tano,Africa,6.5,-1.25,Ghana,"glot500, wikipedia"
aln,,,,,,,,aln,Latin,100.0,,0.0,31470,734061,,,,,,,glot500
als,Tosk Albanian,,,als,,,,als,Latin,99.86,,0.0,2631913,99291068,,,,,,,"glot500, web"
alt,Southern Altai,Altai (Southern),,alt,,alt,alt,alt,Cyrillic,99.5,,0.0,25148,173959,Altaic,Turkic,Eurasia,51.0,87.0,Russia,"glot500, wikipedia"
amh,Amharic,,,amh,,,amh,amh,Ethiopic,97.89,Latin,2.0,5591614,99815231,Afro-Asiatic,Semitic,Africa,10.0,38.0,Ethiopia,"bible, community, glot500, wikipedia"
ang,Old English,,,ang,,,,ang,Latin,99.86,,0.0,27728,105447,,,,,,,wikipedia
anw,Anaang,,,anw,,,,anw,Latin,99.03,Greek,0.66,52661,409670,,,,,,,community
aoj,Mufian,,,,,,aoj,aoj,Latin,100.0,,0.0,24354,417728,Torricelli,Kombio-Arapesh,Papunesia,-3.5,143.0,Papua New Guinea,glot500
apc,Arabic (Beirut),,,,,,apc,apc,Arabic,95.78,Latin,4.22,154029,1147665,Afro-Asiatic,Semitic,Eurasia,33.9166666667,35.5,Lebanon,glot500
ara,Arabic,,,ara,,,,ara,Arabic,95.56,Latin,1.64,10779260,867255773,,,,,,,"bible, glot500, news, newscrawl, newscrawl-OSIAN, web, wikipedia"
arb,Arabic (Modern Standard),,,,,,arb,arb,Arabic,99.77,,0.0,48524,154229,Afro-Asiatic,Semitic,Eurasia,25.0,42.0,Kuwait; Somalia; Syria; Oman; Qatar; Egypt; Tunisia; Morocco; Libya; Comoros Islands; Jordan; Lebanon; Eritrea; Yemen; Saudi Arabia; Iraq; Palestinian West Bank and Gaza; Algeria; United Arab Emirates; Bahrain; Sudan; Israel,glot500
arg,Aragonese,,,arg,,,,arg,Latin,99.58,,0.0,494326,12301588,,,,,,,"glot500, wikipedia"
arn,Mapudungun,,,,,,arn,arn,Latin,100.0,,0.0,17761,193769,Araucanian,Araucanian,South America,-38.0,-72.0,Chile,glot500
ary,Arabic (Moroccan),,,,,,ary,ary,Arabic,95.67,Latin,4.31,120531,567331,Afro-Asiatic,Semitic,Africa,34.0,-6.0,Morocco,glot500
arz,Egyptian Arabic,Arabic (Egyptian),,arz,,,arz,arz,Arabic,81.06,Latin,18.8,1711037,45335001,Afro-Asiatic,Semitic,Africa,30.0,31.0,Egypt,"glot500, wikipedia"
asm,Assamese,,,asm,,,asm,asm,Bengali,92.21,Latin,7.67,1626990,46572832,Indo-European,Indic,Eurasia,26.0,93.0,India,"community, glot500, wikipedia"
ast,Leonese,Asturian,,ast,,,ast,ast,Latin,99.34,,0.0,2927509,162513226,Indo-European,Romance,Eurasia,43.25,-6.0,Spain,"glot500, wikipedia"
ava,Avaric,Avar,,ava,,,ava,ava,Cyrillic,94.9,Latin,4.84,21214,67460,Nakh-Daghestanian,Avar-Andic-Tsezic,Eurasia,42.5,46.5,Azerbaijan; Russia,wikipedia
aym,Aymara,,,aym,,,,aym,Latin,99.78,,0.0,105708,540229,,,,,,,"glot500, wikipedia"
ayr,Aymara (Central),,,,,,ayr,ayr,Latin,100.0,,0.0,15424,29818,Aymaran,Aymaran,South America,-17.0,-69.0,Chile; Bolivia; Peru,glot500
azb,South Azerbaijani,Azari (Iranian),,azb,,,azb,azb,Arabic,68.33,Latin,30.3,17617,45142,Altaic,Turkic,Eurasia,37.5,47.0,Iran; Iraq,"glot500, wikipedia"
aze,Azerbaijani,,,aze,,az,,aze,Latin,86.94,Arabic,12.44,13245703,494773437,,,,,,,"glot500, news, newscrawl, wikipedia"
azj,,,,,,,,azj,Latin,99.02,Cyrillic,0.84,1003045,18912444,,,,,,,glot500
bak,Bashkir,,,bak,,ba,bak,bak,Cyrillic,74.08,Latin,25.73,1900113,46265335,Altaic,Turkic,Eurasia,53.0,58.0,Russia,"community, glot500, wikipedia"
