file,language,script,foreign_script_pct,long_outlier_pct,top20_long_pct,punct_char_pct,program_pct,corrupted_pct,corrupted_freq_pct,eng_stopwords,long_threshold,top20_threshold,total_types,total_frequency
abk_Cyrl.csv,abk,Cyrl,0.2075,0.0437,0.0,0.0049,0.004,0.2512,0.1052,1,23.0,5.5,400053,3335056
afr_Latn.csv,afr,Latn,0.0,0.0668,0.0,0.0138,0.0668,0.1298,0.0113,12,22.0,4.5,26955,385259444
als_Latn.csv,als,Latn,0.0157,0.1817,5.0,0.0167,0.0348,0.2311,0.034,13,18.0,4.5,89141,93333634
amh_Ethi.csv,amh,Ethi,4.7067,0.2366,0.0,0.1541,0.1598,4.8664,1.758,15,12.0,4.5,833554,93826320
ara_Arab.csv,ara,Arab,1.9465,0.0549,0.0,0.0306,0.0472,2.0218,0.3677,11,13.0,4.5,167478,815220430
arg_Latn.csv,arg,Latn,0.0706,0.1109,0.0,0.0546,0.0286,0.2033,0.0253,13,18.0,4.5,59520,11563496
arz_Arab.csv,arz,Arab,11.4338,0.7142,0.0,0.0716,0.6959,11.7917,4.3776,11,13.0,6.1,218273,42614904
asm_Beng.csv,asm,Beng,2.7922,0.0269,0.0,0.0272,0.0368,2.8269,0.5548,14,21.0,5.5,141288,43778474
ast_Latn.csv,ast,Latn,0.043,0.0067,0.0,0.026,0.0471,0.0968,0.0229,14,22.0,4.5,74377,152762499
aze_Latn.csv,aze,Latn,0.791,0.1623,5.0,0.1567,0.2598,1.1639,0.2152,15,23.0,7.0,270548,465087062
azj_Latn.csv,azj,Latn,0.2566,0.0125,5.0,0.054,0.0581,0.3255,0.1108,8,23.0,7.0,111837,17777700
bak_Cyrl.csv,bak,Cyrl,2.5797,0.0481,0.0,0.0784,0.3132,2.8874,0.9904,9,22.0,8.0,182969,43489415
bar_Latn.csv,bar,Latn,0.172,0.115,0.0,0.0561,0.0888,0.3671,0.0687,14,26.0,4.5,194759,8289517
bel_Cyrl.csv,bel,Cyrl,4.6002,0.1108,0.0,0.0344,0.076,4.7273,1.2119,14,22.0,6.0,172320,123255639
ben_Beng.csv,ben,Beng,1.0931,0.0158,0.0,0.0061,0.0167,1.1126,0.1909,8,21.0,7.0,107493,62689932
bew_Cyrl.csv,bew,Cyrl,4.859,0.1475,15.0,0.0305,0.0326,5.0166,1.5009,10,22.0,4.5,128793,2823300
bos_Latn.csv,bos,Latn,0.0378,0.1191,25.0,0.0236,0.0501,0.1891,0.0412,14,18.0,2.6,105761,164642746
