file,distinct_words,total_frequency,cov_50_types,cov_50_tokens,cov_55_types,cov_55_tokens,cov_60_types,cov_60_tokens,cov_65_types,cov_65_tokens,cov_70_types,cov_70_tokens,cov_72_types,cov_72_tokens,cov_74_types,cov_74_tokens,cov_76_types,cov_76_tokens,cov_78_types,cov_78_tokens,cov_80_types,cov_80_tokens,cov_81_types,cov_81_tokens,cov_82_types,cov_82_tokens,cov_83_types,cov_83_tokens,cov_84_types,cov_84_tokens,cov_85_types,cov_85_tokens,cov_86_types,cov_86_tokens,cov_87_types,cov_87_tokens,cov_88_types,cov_88_tokens,cov_89_types,cov_89_tokens,cov_90_types,cov_90_tokens,cov_90_5_types,cov_90_5_tokens,cov_91_types,cov_91_tokens,cov_91_5_types,cov_91_5_tokens,cov_92_types,cov_92_tokens,cov_92_5_types,cov_92_5_tokens,cov_93_types,cov_93_tokens,cov_93_5_types,cov_93_5_tokens,cov_94_types,cov_94_tokens,cov_94_5_types,cov_94_5_tokens,cov_95_types,cov_95_tokens,cov_95_5_types,cov_95_5_tokens,cov_96_types,cov_96_tokens,cov_96_5_types,cov_96_5_tokens,cov_97_types,cov_97_tokens,cov_97_5_types,cov_97_5_tokens,cov_98_types,cov_98_tokens,cov_98_5_types,cov_98_5_tokens,cov_99_types,cov_99_tokens,cov_99_5_types,cov_99_5_tokens,cov_100_types,cov_100_tokens,freq100_types,freq100_tokens,freq10_types,freq10_tokens,rank5pct_types,rank5pct_tokens,rank30pct_types,rank30pct_tokens
abk,663174,3547931,5898,1774004,9363,1951389,14820,2128762,23517,2306163,37687,2483552,45754,2554518,55637,2625472,68168,2696431,83734,2767389,102787,2838347,114613,2873825,126440,2909306,140495,2944783,158235,2980263,175975,3015743,193714,3051221,211454,3086701,237423,3122180,272902,3157659,308381,3193138,326121,3210878,343861,3228618,361600,3246357,379340,3264097,397080,3281837,414819,3299576,432559,3317316,450299,3335056,468038,3352795,485778,3370535,503518,3388275,521257,3406014,538997,3423754,556737,3441494,574476,3459233,592216,3476973,609956,3494713,627695,3512452,645435,3530192,663174,3547931,3758,1604256,38815,2494832,33158,2436067,198952,3061697
ace,62275,673102,162,336639,268,370388,442,403948,735,437598,1257,471180,1562,484649,1944,498126,2423,511558,3035,525029,3832,538492,4314,545220,4868,551954,5506,558684,6231,565406,7076,572141,8065,578871,9209,585600,10555,592330,12225,599064,14124,605793,15246,609159,16368,612525,17490,615891,18853,619254,20536,622620,22219,625986,23902,629352,25584,632716,27267,636082,28950,639448,31986,642813,35351,646178,38717,649544,42082,652909,45448,656275,48813,659640,52179,663006,55544,666371,58910,669737,62275,673102,665,431074,5703,560654,3113,526511,18682,618912
ach,1654,4780,131,2393,180,2629,243,2868,323,3108,434,3347,482,3443,530,3539,577,3633,625,3729,698,3824,746,3872,794,3920,842,3968,890,4016,937,4063,985,4111,1033,4159,1081,4207,1129,4255,1176,4302,1200,4326,1224,4350,1248,4374,1272,4398,1296,4422,1320,4446,1344,4470,1368,4494,1392,4518,1415,4541,1439,4565,1463,4589,1487,4613,1511,4637,1535,4661,1559,4685,1583,4709,1607,4733,1631,4757,1654,4780,2,349,74,1974,82,2046,496,3471
acm,102268,435441,1770,217746,2793,239498,4348,261270,6707,283038,10335,304812,12250,313521,14427,322229,17290,330938,20192,339644,24441,348354,26618,352708,28795,357062,30973,361418,33150,365772,36952,370125,41307,374480,45661,378834,50016,383189,54370,387543,58724,391897,60902,394075,63079,396252,65256,398429,67433,400606,69610,402783,71788,404961,73965,407138,76142,409315,78319,411492,80496,413669,82674,415847,84851,418024,87028,420201,89205,422378,91382,424555,93560,426733,95737,428910,97914,431087,100091,433264,102268,435441,408,152810,5282,271024,5113,269334,30680,360832
acr,30726,1267303,96,635529,132,697724,184,761338,263,823919,390,887510,459,912565,544,937900,645,963154,770,988652,925,1013896,1019,1026535,1126,1039202,1247,1051912,1382,1064564,1537,1077261,1716,1089945,1923,1102556,2171,1115272,2464,1127912,2816,1140599,3018,1146918,3242,1153251,3493,1159600,3772,1165929,4084,1172258,4433,1178604,4827,1184943,5273,1191270,5787,1197602,6392,1203941,7102,1210280,7931,1216615,8947,1222948,10129,1229287,11664,1235621,13540,1241958,16230,1248294,19398,1254630,24390,1260967,30726,1267303,1248,1052012,6514,1205161,1536,1077185,9217,1224568
ada,27,43,7,22,8,24,10,26,12,28,15,31,15,31,16,32,17,33,18,34,19,35,19,35,20,36,20,36,21,37,21,37,21,37,22,38,22,38,23,39,23,39,23,39,24,40,24,40,24,40,24,40,24,40,25,41,25,41,25,41,25,41,26,42,26,42,26,42,26,42,26,42,27,43,27,43,27,43,27,43,27,43,0,0,0,0,1,6,8,24
afb,285702,1994479,1856,997346,2979,1097017,4706,1196704,7419,1296421,11707,1396141,14093,1436026,16986,1475925,20573,1515807,25036,1555696,30590,1595587,33914,1615531,37748,1635475,41877,1655421,46863,1675365,52211,1695309,58859,1715253,65507,1735197,74662,1755142,84635,1775088,94607,1795032,99593,1805004,106199,1814976,116172,1824949,126144,1834921,136117,1844894,146089,1854866,156061,1864838,166034,1874811,176006,1884783,185979,1894756,195951,1904728,205923,1914700,215896,1924673,225868,1934645,235841,1944618,245813,1954590,255785,1964562,265758,1974535,275730,1984507,285702,1994479,2104,1023454,21546,1525537,14285,1438906,85710,1777238
afr,4105641,409850019,86,205072566,153,225626280,276,246019889,495,266409958,875,286910189,1107,295097728,1399,303304437,1769,311501838,2245,319687729,2864,327880217,3252,331983600,3703,336081944,4231,340178110,4854,344278685,5604,348375382,6517,352473069,7642,356571157,9062,360668378,10869,364766519,13205,368866505,14637,370915519,16289,372963725,18226,375013120,20500,377062761,23205,379111677,26462,381160713,30462,383209865,35436,385259259,41725,387308406,49947,389357683,60974,391406911,76303,393456025,98654,395505305,133261,397554557,190736,399603790,295076,401653019,505671,403702269,979615,405751520,2056391,407800769,4105641,409850019,82391,394099485,395488,402823321,205282,399979606,1231692,406393158
ahk,2208,28911,70,14478,90,15935,117,17394,150,18805,193,20241,214,20822,238,21402,266,21990,296,22551,332,23137,352,23428,373,23713,396,24008,420,24288,449,24582,481,24872,516,25156,555,25447,598,25736,646,26024,674,26169,703,26314,731,26454,765,26601,801,26745,837,26889,882,27033,930,27177,978,27321,1031,27466,1104,27612,1176,27756,1248,27900,1341,28044,1486,28189,1630,28333,1775,28478,1919,28622,2064,28767,2208,28911,58,13396,451,24602,110,17043,662,26109
aii,6584,13988,703,6996,977,7694,1327,8394,1689,9093,2388,9792,2668,10072,2948,10352,3227,10631,3507,10911,3787,11191,3927,11331,4067,11471,4207,11611,4346,11750,4486,11890,4626,12030,4766,12170,4906,12310,5046,12450,5186,12590,5256,12660,5326,12730,5396,12800,5465,12869,5535,12939,5605,13009,5675,13079,5745,13149,5815,13219,5885,13289,5955,13359,6025,13429,6095,13499,6165,13569,6235,13639,6305,13709,6375,13779,6445,13849,6515,13919,6584,13988,7,1332,145,4347,329,5578,1975,9379
