word,frequency,lemma
la,16148492,
de,9257407,
kaj,5995090,
en,4989718,
estas,2838642,
al,2328983,
por,1826036,
estis,1704933,
ne,1482632,
li,1342046,
mi,1340251,
ke,1260707,
kiel,1162804,
kun,1113610,
pri,847109,
el,779718,
pli,746935,
sed,743952,
ĝi,704603,
tiu,697779,
ili,678434,
ankaŭ,540177,
plej,529840,
dum,519407,
ni,511448,
povas,510840,
kiuj,485651,
oni,467276,
kiam,412680,
unu,384086,
ĉi,379114,
havas,349520,
se,335601,
inter,331892,
pro,325141,
ŝi,302495,
tiuj,287884,
lia,274954,
ĉar,255506,
ĉu,251092,
je,250962,
multaj,225313,
unua,200770,
kiun,169720,
lin,159434,
sin,143716,
havis,141043,
sub,139573,
tempo,139075,
min,129446,
eble,122780,
siaj,115720,
nova,114978,
nia,114539,
vin,111859,
bone,105734,
ankoraŭ,105636,
lando,99025,
siajn,92789,
bona,88680,
scias,87486,
dua,84800,
registaro,76894,
tia,68069,
pluraj,62581,
vidis,62308,
tro,57058,
lingvoj,55507,
daŭre,53629,
partio,51256,
lasta,50733,
majo,49010,
trovis,47298,
kiom,45136,
ĝenerale,44625,
tiaj,39754,
propra,36387,
februaro,36242,
inkludas,34924,
ŝajnas,34898,
hispana,32198,
informoj,28996,
iri,26327,
aĝo,26097,
antaŭa,25412,
aliflanke,25315,
mono,24910,
kapo,24018,
saman,23591,
elektita,21724,
frato,21188,
servo,21006,
bestoj,19079,
ĉambro,19025,
kultura,18476,
malfacile,18418,
iliajn,17970,
falis,17406,
konstruis,16249,
kredis,16010,
diru,15732,
malantaŭ,15641,
sano,15068,
koncepto,14626,
iĝi,13540,
posedas,13311,
miloj,12565,
cxiuj,11563,
sendube,11394,
malfermis,11009,
vilaĝoj,10712,
alte,10571,
kondukas,10423,
bonajn,10301,
malhelpi,9803,
vieno,9611,
turnis,9174,
vintro,8840,
igi,8348,
ĉeloj,8243,
lasi,7948,
pov'as,7764,
pasinta,7626,
eterna,7328,
mortinta,7320,
faktoroj,7232,
muzikistoj,6577,
kulturon,6448,
rekonis,6200,
samkiel,5865,
ek,5845,
ĝeneralan,5678,
komercistoj,5312,
prepari,4901,
arestita,4897,
trankvile,4626,
fermis,4299,
ofertis,4253,
elektro,3864,
kunmetaĵo,3860,
post'e,3837,
love,3791,
organizas,3549,
konvenas,3157,
parolita,3137,
biologia,3091,
forkuris,3078,
insistis,3026,
kuracado,2994,
specifan,2737,
reĝisorita,2454,
ekzamenon,2258,
transdono,2211,
kisis,2182,
posedaĵoj,1786,
ekhavi,1540,
antaŭ'e,1474,
bonstato,1256,
akiros,1215,
koloĵvaro,1176,
reptilioj,1069,
spionado,1039,
er,999,
aperintaj,972,
marian,929,
rezervitaj,897,
díaz,812,
satira,774,
reprezentaj,662,
hendrik,638,
mon,613,
subpremitaj,597,
roli,540,
autoro,534,
fandita,506,
evoluadon,500,
reflekto,485,
taksante,443,
vizaĝa,418,
banejoj,405,
feldmarŝalo,399,
jenny,373,
nedeviga,369,
goao,358,
portisto,338,
vip,333,
endanĝerigis,320,
welch,313,
subskriba,303,
fiksante,267,
maleoloj,259,
senkulpigon,248,
detranĉis,245,
nin;,228,
muĝo,214,
mormonaj,184,
nutrovaroj,164,
kri'as,162,
kant'o'j,157,
nagyszombat,152,
naĝantaj,149,
stirejo,141,
nile,123,
tumorojn,120,
arborea,118,
porpelita,104,
ŝarĝaj,95,
ferruccio,83,
hav'ig'is,76,
neplenkreskuloj,75,
dendritoj,72,
tapiŝetoj,68,
hajj,65,
pov,64,
gorgan,57,
motorciklaj,54,
izolulo,52,
assassin's,50,
katekino,50,
vag'ad'is,38,
