word,frequency,lemma
a,95567009,
az,34483784,
és,21836780,
hogy,14193542,
is,13502606,
nem,11518806,
egy,8476165,
meg,4780590,
de,4400732,
volt,4239587,
már,3566074,
ez,3556162,
csak,3302894,
ha,3298600,
még,3004913,
van,2928139,
azt,2856259,
vagy,2699131,
el,2598361,
ki,2424408,
kell,2379844,
szerint,2327929,
magyar,2048790,
sem,2048187,
több,1770968,
után,1621941,
olyan,1592360,
s,1324560,
ami,1253256,
azonban,1202064,
amikor,1121818,
egyik,1104097,
arra,1027110,
hanem,946782,
én,933541,
alatt,865194,
amit,855019,
év,693997,
ember,682582,
való,665393,
éves,660947,
viszont,629534,
mondta,625429,
egész,591257,
például,545486,
akár,504262,
alapján,501727,
mit,492075,
ellen,491646,
egyre,460742,
hozzá,451273,
adott,433732,
igen,427333,
mely,379759,
kormány,378769,
össze,360424,
kapott,356247,
elég,352152,
végül,340592,
számos,327462,
gazdasági,304985,
õ,302090,
szükséges,285698,
jobban,272346,
mindent,267479,
lehetett,251469,
közölte,250018,
sokan,249478,
tett,244706,
utóbbi,242051,
tartott,214167,
egészen,214011,
vett,209249,
óra,206734,
elleni,201785,
általános,198141,
azóta,194700,
délután,162844,
gábor,157917,
helyet,155502,
lesznek,153668,
györgy,145283,
járt,131339,
szövetség,128698,
budapesten,128415,
egymás,128219,
miniszterelnök,124072,
melyik,122437,
gyermek,118226,
széles,107129,
lépett,102459,
elõször,93878,
zenei,93477,
hiszem,92578,
nép,88370,
téren,85922,
mondott,85647,
támogatást,84017,
bajnoki,72851,
érzi,71887,
függetlenül,71480,
tervek,70401,
dolgot,68933,
válság,68301,
magára,64088,
kialakult,61759,
labdarúgó,58424,
lehetetlen,45573,
nyugodtan,44313,
autót,42702,
magyarországra,41525,
motor,39025,
megmaradt,38779,
feladatokat,38599,
végezte,38578,
számító,37171,
szoba,35017,
tartozott,34696,
kérdéseket,34247,
használták,32711,
habár,31016,
latin,30393,
idõt,30330,
fényes,28813,
gdp,27138,
nyugat,26204,
leggyakrabban,25099,
állampolgár,23342,
amennyire,20701,
honlapon,19075,
irányítja,17852,
részre,16587,
intelligens,16432,
zenekarok,15232,
unalmas,14784,
kétségtelen,13982,
levegőt,13712,
újabban,13115,
vitatott,12595,
székelyudvarhelyi,12314,
munkásságát,11785,
létszámú,10410,
nevezetes,10205,
pétert,10179,
ostoba,9781,
legmodernebb,9270,
szenvedélyes,9037,
miniszterelnököt,8906,
megölte,8876,
katinka,8762,
csoportokat,8038,
gheorghe,7770,
bement,7626,
futnak,7473,
szárny,6384,
verziót,5629,
példányok,5603,
megváltás,5602,
visszavonta,5484,
útmutató,5146,
évének,4655,
képzésen,4475,
porno,4144,
készítők,4089,
rendelkezéseket,3467,
mesterien,2194,
szakterülete,2123,
időseknek,2083,
külsőt,1751,
tudatom,1598,
behajtási,1593,
gondolhatunk,1562,
ildi,1270,
elhangzanak,1247,
kitüntették,1232,
átvitel,1153,
ligakupa,1115,
kérniük,1101,
álomnak,1097,
szobrait,1090,
könnyűszerkezetes,988,
beilleszkedett,988,
szórunk,867,
hitted,833,
plébániára,783,
folyósításának,763,
nyilatkozatált,678,
monostort,673,
átálltak,671,
schiff,651,
javíthatják,600,
kormányrendeletek,587,
álmunkban,553,
bőrömön,543,
pozíciójára,523,
büntetőügyben,523,
szolidabb,438,
megélik,431,
disz,410,
terepmunkát,359,
önbecsülést,323,
palagáz,313,
márványtermében,248,
kitárni,177,
érdekszövetség,176,
lekapja,169,
dúdolta,157,
szénbõl,139,
lineárisak,132,
díszű,132,
legizgalmasabbak,119,
időfutamban,116,
firaxis,104,
felnyitottam,102,
műveletének,102,
szentháromság-templom,91,
sokknak,83,
prezit,82,
rurik,75,
õvelük,70,
