lang,n_words,has_freq,avg_levenshtein,levenshtein_score,avg_loss,word_accuracy,n_correct
ces,533,True,0.0694,0.9553,0.0887,0.9306,496
ell,207,True,0.0773,0.9509,0.1041,0.9275,192
eng,200,True,0.06,0.9675,0.0862,0.94,188
epo,196,True,0.051,0.9668,0.0872,0.949,186
fra,200,True,0.015,0.9875,0.0417,0.985,197
hin,200,True,0.015,0.985,0.049,0.985,197
jap,200,False,0.015,0.9875,0.042,0.985,197
lat,191,True,0.0524,0.9686,0.0693,0.9476,181
mar,201,True,0.0,1.0,0.0063,1.0,201
rus,199,True,0.1055,0.9347,0.1324,0.8945,178
spa,200,True,0.05,0.9625,0.0774,0.95,190
tel,200,True,0.01,0.9925,0.0419,0.99,198
