language,original_distinct_words,original_total_frequency,word_count,morph_count,word_total_frequency,morph_total_frequency,word_ttr,morph_ttr,word_hapax_count,morph_hapax_count,word_hapax_ratio,morph_hapax_ratio,word_freq_hapax_count,morph_freq_hapax_count,word_freq_hapax_ratio,morph_freq_hapax_ratio,word_avg_length,morph_avg_length,word_avg_length_weighted,morph_avg_length_weighted,word_frequency_entropy,morph_frequency_entropy,word_frequency_perplexity,morph_frequency_perplexity,avg_root_count,avg_prefix_count,avg_suffix_count,avg_interfix_count,avg_root_count_weighted,avg_prefix_count_weighted,avg_suffix_count_weighted,avg_interfix_count_weighted,cutoff_word_pct
Abkhazian,21361.0,66806.0,18020,12205,63466,205003,0.2839315539028771,0.059535714111500805,18019,8926,0.9999445061043285,0.7313396149119213,10074,5493,0.5590455049944506,0.4500614502253175,8.27369589345172,4.832281851700123,6.906627170453471,2.1381930996131766,12.397259107351912,7.837241061427668,5394.446065738658,228.6886668392777,1.0001664724488097,5.549081626990733e-05,3.056822595860385,0.0,1.0000472694040903,1.5756468030126366e-05,2.230060189707875,0.0,84.35934647254342
Achinese,13702.0,100432.0,8681,5338,95411,194916,0.09098531615851421,0.02738615608775062,8681,3889,1.0,0.7285500187336081,3841,2052,0.44246054602004375,0.38441363806669165,6.998041700264946,4.37336080929187,5.423116831392607,2.654605060641507,9.205414436019145,7.670617689982582,590.3449707467521,203.74455441467578,1.0004607764082478,0.0005759705103098721,2.1945628383826747,0.0,1.0000524048589785,0.00019913846411839307,1.0455607843959291,0.0,63.35571449423442
Acoli,1522.0,4952.0,1275,812,4705,9815,0.27098831030818277,0.08273051451859399,1275,566,1.0,0.6970443349753694,615,272,0.4823529411764706,0.33497536945812806,4.8933333333333335,3.2857142857142856,4.009351753453773,1.9219561895058583,8.940888002673017,6.877028497245083,491.44562893654313,117.5416705269438,1.0,0.000784313725490196,1.468235294117647,0.0,1.0,0.00021253985122210415,1.0858660998937302,0.0,83.77135348226018
Afrikaans,2909314.0,632511857.0,36827,17268,600886661,1510284167,6.12877642161539e-05,1.1433609897600152e-05,36826,11824,0.9999728460097211,0.6847347695158675,0,0,0.0,0.0,8.042414532815597,5.759902710215427,4.424427138348475,1.760317235716608,9.883319869427082,6.640445903665644,944.4429682064738,99.7638961445106,1.003774302161399,0.008987726729662214,2.608830237862496,0.0,1.002161818666166,0.024971211667486157,1.4862943546020904,0.0,1.2658310515812319
Assyrian Neo-Aramaic,10010.0,32703.0,8375,7781,31068,59384,0.2695699755375306,0.13102855988144954,8375,6951,1.0,0.8933299061817247,3678,3257,0.43916417910447764,0.4185837295977381,5.737910447761194,4.44737180311014,4.806810866486417,2.5147851273070185,11.32668278981374,8.27476211149991,2568.450918871267,309.70741443412095,1.0,0.0003582089552238806,1.2435820895522387,0.0,1.0,0.0018024977468778164,0.9096176129779838,0.0,83.66633366633367
Akan,3984.0,24349.0,2767,2009,23132,47243,0.11961784540895729,0.04252481849162839,2767,1557,1.0,0.775012444001991,396,242,0.14311528731478135,0.12045793927327028,5.736176364293459,3.858636137381782,3.9043748919246064,1.9117329551467943,9.114318648216159,6.979956236295596,554.2214154261436,126.23395684933334,1.000361402240694,0.0014456089627755693,1.7799060354174197,0.0,1.0000432301573579,0.0007781428324399101,1.0420629431091128,0.0,69.45281124497991
Tosk Albanian,512687.0,31761732.0,40999,14464,30173662,69134535,0.0013587677889412297,0.0002092152641223377,40999,7285,1.0,0.5036642699115044,0,0,0.0,0.0,7.697553598868265,5.464117809734513,4.713165906080608,2.057054046866736,10.481685194534036,7.080242035024314,1429.8867725844677,135.32100953786838,1.0014146686504548,0.0012195419400473182,2.43969365106466,0.0,1.0010335503857637,0.00018363697452433847,1.290004043924135,0.0,7.996886989527724
Southern Altai,8321.0,31348.0,6754,4047,29781,84526,0.22678889224673449,0.04787875919835317,6754,2667,1.0,0.6590066716085989,3858,1788,0.5712170565590761,0.44180874722016306,7.709209357417826,4.4786261428218435,5.906651892145999,2.0810874760428746,10.866604892803858,7.587362383551551,1867.1277074740774,192.31965242008985,1.0004441812259401,0.0002961208172934557,2.8469055374592833,0.0,1.0001343138242504,0.0008058829455021658,1.8373123803767504,0.0,81.16812883066939
Amharic,181998.0,1812700.0,105891,82001,1722066,2671464,0.0614906745734484,0.03069515441720345,105891,67341,1.0,0.8212216924183852,0,0,0.0,0.0,5.046481759545193,4.12142534847136,3.99974913853476,2.5782986407452992,13.714239916204345,11.353439568585712,13439.947817454136,2616.53087700324,1.0000188873464222,0.0026347848259058843,1.0481721770499854,0.0,1.00001684023725,0.011694673723306773,0.5396018503355853,0.0,58.182507500082416
Old English,37814.0,197091.0,27960,16552,187237,410675,0.14932945945512907,0.040304376940402994,27960,11585,1.0,0.6999154180763654,9020,4858,0.32260371959942774,0.2934992750120831,7.6816165951359086,4.987433542774287,5.064810908100429,2.309173920983746,11.356702493301173,8.44616501099515,2622.4553481723983,348.7779467291273,1.0003576537911303,0.0002861230329041488,2.3637696709585123,0.0,1.0000534082473016,0.0006836255654598183,1.192622184717764,0.0,73.94086846141641
Anaang,52668.0,409670.0,32185,15276,389187,881006,0.08269803462088919,0.017339268972061485,32185,10086,1.0,0.6602513747054203,6880,2608,0.21376417585831908,0.17072532076459807,7.764206928693491,4.916077507200838,4.553155680945149,2.0113699566177754,9.990281876623172,7.065146999441505,1017.1254239008155,133.91251624569773,1.0005592667391643,0.0004971259903681839,2.464937082491844,0.0,1.000059097554646,0.0001233340270872357,1.263526274001958,0.0,61.1092124250019
Arabic,5710586.0,581860522.0,167523,70053,552767532,1203567337,0.0003030623006996728,5.820447086459941e-05,167523,45948,1.0,0.6559033874352276,0,0,0.0,0.0,6.2132901153871405,5.109973876921759,4.838662854025949,2.2222734381167406,13.192571522542268,8.686371966490563,9361.808392954887,411.9632877053302,1.0035935364099258,0.05524614530542075,1.7942431785486173,0.0,1.001820164792168,0.045361607815995963,1.1301663300296734,0.0,2.9335518281311237
Aragonese,101103.0,1823396.0,35272,14925,1732227,3831170,0.020362227352419746,0.0038956767775901358,35272,9208,1.0,0.6169514237855946,0,0,0.0,0.0,7.82065094125652,5.106331658291457,4.47861394609367,2.0249626093334414,9.92263471918347,6.821040204913754,970.5338484462244,113.06747750143577,1.0002835110002268,0.0005386709004309367,2.576207756860966,0.0,1.0000981395625401,0.0004012176233253494,1.211202688793097,0.0,34.88719424745062
Egyptian Arabic,228009.0,3616293.0,79159,52439,3435479,5699274,0.023041619523798573,0.009200996477796996,79159,39677,1.0,0.7566315147123325,0,0,0.0,0.0,6.191930165868695,4.912336238295925,4.371315324587925,2.634995615230993,10.749232768601681,9.140716295227381,1721.2402520655337,564.4556008549658,1.0001389608256799,0.0016043658964868177,1.5637514369812655,0.0,1.000079755981626,0.0039453013684554615,0.6549217736449561,0.0,34.71748922191668
Assamese,204835.0,2957361.0,87111,57573,2809493,5056410,0.03100595018389439,0.011386141551021377,87111,43891,1.0,0.7623538811595714,0,0,0.0,0.0,7.533686905212889,6.037326524586177,5.395776746907716,2.9980553396579785,12.620513922644518,9.560641128192653,6297.283586804872,755.1613555325597,1.0001607144907072,0.0009068889118481018,1.708326158579284,0.0,1.000442784516637,0.0013226585722050206,0.7979934457925326,0.0,42.52740010252154
Leonese,547738.0,31798834.0,52064,22901,30208903,69820345,0.0017234654300422626,0.00032799895216788173,52064,14719,1.0,0.6427230251954064,0,0,0.0,0.0,7.783209127228027,5.522902930003057,4.807906695585735,2.0802186955678894,10.619771275430459,7.154713231267971,1573.5107018058727,142.48964123352022,1.0013637062077443,0.003995082974800246,2.5632682851874615,0.0,1.0016864233699583,0.006960563910579606,1.3026055596921213,0.0,9.505274419521742
Avaric,22892.0,96433.0,18071,9716,91612,293342,0.1972558180151072,0.03312174867560731,18071,6244,1.0,0.6426512968299711,6673,2864,0.36926567428476564,0.29477151090983944,8.821592606939294,5.165500205846027,7.094234379775576,2.2155606766163727,12.140240437558683,7.58965390248177,4514.155614870271,192.6253679701063,1.000110674561452,5.5337280726025124e-05,3.264622876431852,0.0,1.0000218312011526,1.091560057634371e-05,2.2019713574640876,0.0,78.94024113227329
Aymara,15809.0,71369.0,12241,6755,67801,172002,0.18054305983687557,0.03927279915349822,12241,4819,1.0,0.7133974833456699,4617,2130,0.3771750673964545,0.3153219837157661,8.336818887345805,5.018504811250925,5.640654267636171,2.2234741456494693,10.21387726447244,7.16068159218961,1187.636205208615,143.08033511133854,1.000245078016502,8.169267216730659e-05,2.832856792745691,0.0,1.000044247134998,2.9498089998672585e-05,1.5367914927508444,0.0,77.43057751913467
South Azerbaijani,953.0,1791.0,864,960,1702,4162,0.5076380728554641,0.23065833733781835,864,788,1.0,0.8208333333333333,715,673,0.8275462962962963,0.7010416666666667,6.957175925925926,4.025,6.083431257344301,2.4877462758289286,8.29637877519833,7.714288153004485,314.38286451345755,210.00620613026453,1.0,0.0011574074074074073,2.1145833333333335,0.0,1.0,0.0005875440658049354,1.4447708578143361,0.0,90.6610703043022
