lang,language,family,genus,macroarea,lat,lon,countries,n_words_segment_true,has_freq_segment_true,avg_levenshtein_segment_true,levenshtein_score_segment_true,avg_loss_segment_true,word_accuracy_segment_true,n_correct_segment_true,n_words_segment_universal,avg_levenshtein_segment_universal,levenshtein_score_segment_universal,word_accuracy_segment_universal,n_correct_segment_universal,n_words_root_true,has_freq_root_true,avg_levenshtein_root_true,levenshtein_score_root_true,avg_loss_root_true,word_accuracy_root_true,n_correct_root_true,n_words_root_universal,avg_levenshtein_root_universal,levenshtein_score_root_universal,word_accuracy_root_universal,n_correct_root_universal,original_distinct_words_results,original_total_frequency_results,word_count_results,morph_count_results,word_total_frequency_results,morph_total_frequency_results,word_ttr_results,morph_ttr_results,word_hapax_count_results,morph_hapax_count_results,word_hapax_ratio_results,morph_hapax_ratio_results,word_freq_hapax_count_results,morph_freq_hapax_count_results,word_freq_hapax_ratio_results,morph_freq_hapax_ratio_results,word_avg_length_results,morph_avg_length_results,word_avg_length_weighted_results,morph_avg_length_weighted_results,word_frequency_entropy_results,morph_frequency_entropy_results,word_frequency_perplexity_results,morph_frequency_perplexity_results,avg_root_count_results,avg_prefix_count_results,avg_suffix_count_results,avg_interfix_count_results,avg_root_count_weighted_results,avg_prefix_count_weighted_results,avg_suffix_count_weighted_results,avg_interfix_count_weighted_results,cutoff_word_pct_results,distinct_words_statistics,total_frequency_statistics,cutoff_95_words_statistics,cutoff_95_pct_vocab_statistics,cutoff_95_last_freq_statistics,cutoff_99_words_statistics,cutoff_99_pct_vocab_statistics,cutoff_99_last_freq_statistics
abk,Abkhazian,Northwest Caucasian,Northwest Caucasian,Eurasia,43.0833333333,41.0,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,1791.0,35867.0,1434.0,1459.0,34075.0,71917.0,0.042083639031548,0.020287275609383,1434.0,1136.0,1.0,0.7786154900616861,0.0,0.0,0.0,0.0,7.122036262203626,4.471555860178205,5.8986647101980925,2.794846837326362,9.458066711745676,7.832039711063692,703.3342736852734,227.865659768019,1.0467224546722456,0.2147838214783821,1.205020920502092,0.0160390516039051,1.0332208363903157,0.1391636096845194,0.9310051357300072,0.0071606749816581,80.06700167504187,1791.0,35867.0,1434.0,80.07,6.0,1720.0,96.04,5.0
ace,Achinese,Austronesian,Malayo-Sumbawan,Eurasia,5.5,95.5,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,1833.0,83790.0,1138.0,1116.0,79603.0,117150.0,0.0142959436202153,0.0095262483994878,1138.0,925.0,1.0,0.828853046594982,0.0,0.0,0.0,0.0,5.753075571177504,4.485663082437276,5.1377460648468025,3.4910798122065727,7.764037867540619,7.42169705028257,217.37434460927284,171.4562934388422,1.0325131810193322,0.0685413005272407,0.5869947275922671,0.0070298769771528,1.0544577465673404,0.0913030915920254,0.3270102885569639,0.0023868447169076,62.08401527550463,1833.0,83790.0,1138.0,62.08,8.0,1666.0,90.89,5.0
ach,Acoli,Eastern Sudanic,Western Nilotic,Africa,3.0,32.6666666667,Uganda; South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,195.0,2923.0,166.0,168.0,2778.0,3661.0,0.0597552195824334,0.0458891013384321,166.0,155.0,1.0,0.9226190476190476,0.0,0.0,0.0,0.0,4.186746987951807,3.577380952380953,3.425845932325414,2.599562960939634,6.622314373268064,6.301040219313177,98.5179274920288,78.85007484466847,1.0,0.0602409638554216,0.4216867469879518,0.0,1.0,0.0381569474442044,0.2796976241900648,0.0,85.12820512820512,195.0,2923.0,166.0,85.13,5.0,190.0,97.44,5.0
afr,Afrikaans,Indo-European,Germanic,Africa,-31.0,22.0,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,470394.0,622842670.0,23979.0,11200.0,591701006.0,1018077364.0,4.052553529036927e-05,1.1001128593995534e-05,23978.0,6957.0,0.999958296843071,0.6211607142857143,0.0,0.0,0.0,0.0,7.713916343467201,5.000714285714285,4.359134657276551,2.5335052651263936,9.70964946764734,8.243716293375044,837.3282371750188,303.11391928544793,1.1186822351959966,0.2618015012510425,1.219724770642202,0.0423269391159299,1.039788039501829,0.0947151237393705,0.5765070864185754,0.0095840262945234,5.097641551550403,470394.0,622842670.0,23980.0,5.1,985.0,128826.0,27.39,62.0
aii,Assyrian Neo-Aramaic,Afro-Asiatic,Semitic,Eurasia,36.0,41.0,Syria,,,,,,,,,,,,,,,,,,,,,,,,,705.0,15650.0,549.0,532.0,14870.0,18971.0,0.0369199731002017,0.0280428021717358,549.0,516.0,1.0,0.9699248120300752,0.0,0.0,0.0,0.0,4.80327868852459,4.845864661654136,3.942367182246133,3.0901375784091507,7.871931012201629,7.159043347257684,234.25418504280503,142.91795318628957,1.0,0.0,0.052823315118397,0.0,1.0,0.0,0.2757901815736382,0.0,77.87234042553192,705.0,15650.0,549.0,77.87,5.0,674.0,95.6,5.0
aka,Akan,Niger-Congo,Tano,Africa,6.5,-1.25,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,524.0,17085.0,376.0,371.0,16233.0,20928.0,0.0231626932791227,0.0177274464831804,376.0,314.0,1.0,0.8463611859838275,0.0,0.0,0.0,0.0,4.444148936170213,3.7142857142857135,3.166635865212838,2.456230886850153,7.09859820115973,6.703090173260993,137.05376979203902,104.19123978615364,1.002659574468085,0.0824468085106382,0.4148936170212766,0.0,1.0006160290765724,0.04644859237356,0.2429618678001601,0.0,71.7557251908397,524.0,17085.0,376.0,71.76,7.0,490.0,93.51,5.0
als,Tosk Albanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512687.0,31761732.0,512680.0,230498.0,31761732.0,59591562.0,0.0161414371231392,0.0038679637227834,512674.0,172915.0,0.9999882967933214,0.7501800449461601,271442.0,125192.0,0.5294569712101116,0.5431370337269738,8.954478427089022,6.36889257173598,4.900267781366583,2.6117958109572625,11.138051852622024,8.652753206398486,2253.6563903146007,402.4743986898312,1.1009426804268492,0.2595969860753247,1.3189314337987894,0.0487607448599242,1.028645887447196,0.0616816488471094,0.7803753271389609,0.0055038875084016,99.9986346445297,512687.0,31761732.0,40999.0,8.0,33.0,218156.0,42.55,2.0
alt,Southern Altai,Altaic,Turkic,Eurasia,51.0,87.0,Russia,,,,,,,,,,,,,,,,,,,,,,,,,8321.0,31348.0,6754.0,5365.0,29781.0,60223.0,0.2267888922467344,0.0890855653155771,6754.0,3919.0,1.0,0.730475302889096,3858.0,2542.0,0.5712170565590761,0.47381174277726,7.672046194847498,4.91425908667288,5.898223699674289,2.9167427726948176,10.866604892803858,9.028615641516296,1867.1277074740772,522.2568289019654,1.1217056559076104,0.2494817885697364,1.1274800118448327,0.0709209357417826,1.0757865753332665,0.1407273093583157,0.7723380678956382,0.0333434068701521,81.16812883066939,8321.0,31348.0,6754.0,81.17,1.0,8008.0,96.24,1.0
amh,Amharic,Afro-Asiatic,Semitic,Africa,10.0,38.0,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,19100.0,1293163.0,10762.0,9799.0,1228519.0,1440978.0,0.0087601412757963,0.0068002426130031,10762.0,9217.0,1.0,0.9406061843045208,0.0,0.0,0.0,0.0,4.185374465712693,4.212470660271456,3.6222622523542576,3.088192880113368,11.506748010187463,10.836410381437387,2909.888201430754,1828.456236645957,1.000464597658428,0.0002787585950566,0.1138264263148113,0.0,1.000148145856922,8.139882248463394e-05,0.1727095795832217,0.0,56.34554973821989,19100.0,1293163.0,10762.0,56.35,15.0,16514.0,86.46,5.0
ang,Old English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37814.0,197091.0,27960.0,19131.0,187237.0,301882.0,0.149329459455129,0.0633724435375411,27960.0,14571.0,1.0,0.7616434059902776,9020.0,5569.0,0.3226037195994277,0.2910982175526632,7.711444921316166,5.486540170404056,5.069265155925378,3.14412253794529,11.356702493301173,9.682131953092556,2622.4553481723983,821.5086484838251,1.0891273247496422,0.152038626609442,0.976788268955651,0.0303290414878397,1.0348542221889905,0.0684853955147754,0.4992122283523021,0.009763027606723,73.94086846141641,37814.0,197091.0,27960.0,73.94,1.0,35844.0,94.79,1.0
