language,unique_chars,tokens,bin_size,zip_size,rand_zip_size,ratio,reduction_pct
abk_Cyrl,118,100000,1535241,427162,573415,0.744945,25.51
afr_Latn,76,100000,1077562,258104,332009,0.777402,22.26
als_Latn,91,100000,1132821,295282,378790,0.779541,22.05
amh_Ethi,424,100000,1006287,420840,523762,0.803494,19.65
ara_Arab,113,100000,1142279,331079,402008,0.823563,17.64
arg_Latn,132,100000,1155720,287904,381230,0.755197,24.48
arz_Arab,188,100000,1077044,308589,380820,0.81033,18.97
asm_Beng,149,100000,1274578,367239,515615,0.712236,28.78
ast_Latn,98,100000,1198475,303601,398567,0.76173,23.83
aze_Latn,247,100000,1492115,396246,538430,0.735928,26.41
azj_Latn,122,100000,1472871,377901,524390,0.72065,27.93
bak_Cyrl,130,100000,1463244,401262,556481,0.72107,27.89
bar_Latn,191,100000,1195455,329324,406022,0.811099,18.89
bel_Cyrl,114,100000,1358962,375224,512969,0.731475,26.85
ben_Beng,122,100000,1250133,349326,484420,0.721122,27.89
bew_Cyrl,133,100000,1455001,395549,549756,0.7195,28.05
bos_Latn,87,100000,1163885,303987,387450,0.784583,21.54
bpy_Beng,191,100000,1280251,332257,496298,0.669472,33.05
bre_Latn,157,100000,1074259,277928,358756,0.774702,22.53
bul_Cyrl,89,100000,1195119,310774,415364,0.748199,25.18
cak_Latn,47,100000,1070318,239456,348907,0.686303,31.37
cat_Latn,81,100000,1114386,272966,362455,0.753105,24.69
ceb_Latn,164,100000,1195608,242440,369446,0.656225,34.38
ces_Latn,81,100000,1234375,346350,458580,0.755266,24.47
che_Cyrl,121,100000,1549180,334901,557660,0.600547,39.95
chv_Cyrl,114,100000,1363319,376493,507550,0.741787,25.82
ckb_Arab,196,100000,1294456,356508,469716,0.758984,24.1
cmn_Hani,4104,100000,557973,294950,318499,0.926061,7.39
cos_Latn,286,100000,1195629,361834,429494,0.842468,15.75
cym_Latn,93,100000,1120761,284618,365778,0.778118,22.19
dan_Latn,69,100000,1134897,280451,363683,0.771141,22.89
deu_Latn,74,100000,1317972,321455,432127,0.743891,25.61
div_Thaa,146,100000,1745214,403931,641506,0.629661,37.03
ekk_Latn,162,100000,1513176,390252,504404,0.773689,22.63
ell_Grek,107,100000,1232927,326252,440579,0.740507,25.95
eng_Latn,114,100000,1143657,279956,367856,0.761048,23.9
epo_Latn,135,100000,1174902,292136,380038,0.768702,23.13
est_Latn,91,100000,1417476,352844,465666,0.75772,24.23
eus_Latn,89,100000,1498714,354866,477294,0.743494,25.65
fao_Latn,84,100000,1170944,295588,400191,0.73862,26.14
fas_Arab,137,100000,976940,272726,329931,0.826616,17.34
fil_Latn,90,100000,1153875,285004,363116,0.784886,21.51
fin_Latn,88,100000,1634397,402705,526430,0.764974,23.5
fra_Latn,64,100000,1169527,281900,382096,0.737776,26.22
fry_Latn,129,100000,1101079,280185,359074,0.780298,21.97
gla_Latn,105,100000,1102069,272638,352338,0.773797,22.62
gle_Latn,80,100000,1146387,285695,380936,0.749985,25.0
glg_Latn,75,100000,1188717,291365,388570,0.749839,25.02
glk_Arab,123,100000,909750,255522,299761,0.85242,14.76
gsw_Latn,118,100000,1142404,316902,389559,0.813489,18.65
guj_Gujr,147,100000,1129502,329222,438172,0.751353,24.86
hat_Latn,180,100000,1017182,271848,336084,0.808869,19.11
hau_Latn,168,100000,1083608,271094,342366,0.791824,20.82
haw_Latn,229,100000,958813,261800,316776,0.826453,17.35
hbs_Latn,98,100000,1244156,327337,419372,0.780542,21.95
heb_Hebr,98,100000,1064732,308992,362121,0.853283,14.67
hif_Latn,101,100000,990845,254328,305804,0.831672,16.83
hin_Deva,116,100000,976953,276757,365623,0.756945,24.31
hmn_Latn,222,100000,985019,243157,314675,0.772724,22.73
hrv_Latn,62,100000,1233267,317370,413940,0.766705,23.33
hsb_Latn,95,100000,1227086,325075,439169,0.740205,25.98
hun_Latn,80,100000,1368634,363991,493806,0.737115,26.29
hye_Armn,158,100000,1467909,388769,561361,0.692547,30.75
ibo_Latn,241,100000,1036328,282029,358851,0.785923,21.41
ido_Latn,88,100000,1131630,243984,355197,0.6869,31.31
iku_Cans,177,100000,1720198,506246,789943,0.640865,35.91
ilo_Latn,130,100000,1173007,267166,355459,0.751609,24.84
ina_Latn,172,100000,1184310,297841,378977,0.785906,21.41
ind_Latn,48,100000,1396435,318148,439266,0.724273,27.57
isl_Latn,77,100000,1161663,301281,402494,0.748538,25.15
ita_Latn,59,100000,1198766,283153,376490,0.752087,24.79
jav_Latn,192,100000,1346606,343190,443020,0.77466,22.53
kal_Latn,100,100000,2603082,529661,819460,0.646354,35.36
kan_Knda,139,100000,1579226,434129,639542,0.678812,32.12
kat_Geor,118,100000,1560265,404537,548973,0.7369,26.31
kaz_Cyrl,114,100000,1561569,394926,577337,0.684049,31.6
kin_Latn,92,100000,1379883,326872,454101,0.719824,28.02
kir_Cyrl,103,100000,1486876,377969,531574,0.711038,28.9
kor_Hang,1767,100000,801667,421592,490305,0.859856,14.01
kur_Latn,139,100000,1064663,290305,375606,0.772898,22.71
lat_Latn,164,100000,1350166,342865,436216,0.785997,21.4
lav_Latn,57,100000,1417947,351396,497555,0.706246,29.38
lim_Latn,153,100000,1150452,308643,384457,0.802803,19.72
lit_Latn,95,100000,1451179,370465,501214,0.739135,26.09
lmo_Latn,136,100000,1059812,276538,354667,0.779714,22.03
ltz_Latn,300,100000,1439410,423276,544408,0.777502,22.25
lug_Latn,101,100000,1434532,341800,467912,0.73048,26.95
lus_Latn,61,100000,1023940,243680,318636,0.764758,23.52
lvs_Latn,103,100000,1417447,367075,500456,0.733481,26.65
mal_Mlym,147,100000,1911332,509125,778718,0.6538,34.62
mar_Deva,128,100000,1322062,370507,521520,0.710438,28.96
min_Latn,77,100000,1445555,268426,445762,0.602173,39.78
mkd_Cyrl,83,100000,1196993,301345,403221,0.747343,25.27
mlg_Latn,173,100000,1310936,321662,425435,0.756078,24.39
mlt_Latn,331,100000,1649118,519292,669292,0.775696,22.43
mon_Cyrl,96,100000,1368511,347522,485925,0.715176,28.48
mri_Latn,154,100000,977838,258360,308533,0.83738,16.26
msa_Latn,100,100000,1373197,321654,434105,0.740957,25.9
mwl_Latn,87,100000,1164137,283729,378961,0.748703,25.13
nan_Latn,161,100000,1230724,288692,449803,0.64182,35.82
nds_Latn,134,100000,1170235,299125,385612,0.775714,22.43
nep_Deva,154,100000,1292755,363563,512245,0.709746,29.03
new_Deva,235,100000,1227607,285882,457352,0.625083,37.49
nld_Latn,69,100000,1163307,278360,367014,0.758444,24.16
nno_Latn,108,100000,1136743,289576,365704,0.791832,20.82
nob_Latn,77,100000,1156209,289103,371548,0.778105,22.19
nor_Latn,86,100000,1106285,277930,351561,0.790561,20.94
nso_Latn,58,100000,1017161,223024,308018,0.724063,27.59
nya_Latn,237,100000,1384113,372209,473174,0.78662,21.34
oci_Latn,126,100000,1154463,302536,382534,0.790872,20.91
ori_Orya,144,100000,1330907,366683,538727,0.680648,31.94
orm_Latn,152,100000,1486159,335484,473142,0.709057,29.09
ory_Orya,124,100000,1339896,361606,536918,0.673485,32.65
pam_Latn,313,100000,1294309,377315,444232,0.849364,15.06
pan_Guru,112,100000,976309,278474,372195,0.748194,25.18
pap_Latn,52,100000,1013716,240056,318412,0.753916,24.61
pcm_Latn,48,100000,1116047,242808,358162,0.67793,32.21
pes_Arab,94,100000,982030,270835,330517,0.81943,18.06
plt_Latn,69,100000,1365476,232285,413870,0.56125,43.88
pms_Latn,106,100000,1067180,241627,346871,0.696592,30.34
pnb_Arab,150,100000,946780,268042,330483,0.811062,18.89
pol_Latn,106,100000,1348738,353287,483854,0.730151,26.98
por_Latn,62,100000,1162660,279394,383134,0.729234,27.08
pus_Arab,152,100000,907532,267093,320940,0.83222,16.78
roh_Latn,70,100000,1176726,279984,379285,0.738189,26.18
ron_Latn,68,100000,1177199,295257,385679,0.765551,23.44
rus_Cyrl,84,100000,1387696,370590,509057,0.727994,27.2
sah_Cyrl,132,100000,1601216,416772,575804,0.723809,27.62
scn_Latn,189,100000,1160869,314457,391212,0.803803,19.62
sco_Latn,214,100000,1122602,302757,372317,0.81317,18.68
sin_Sinh,142,100000,1195198,347457,470960,0.737765,26.22
slk_Latn,92,100000,1274552,348778,472321,0.738434,26.16
slv_Latn,72,100000,1194543,304622,395090,0.771017,22.9
sme_Latn,155,100000,1531363,391164,543410,0.719832,28.02
smo_Latn,114,100000,965135,239345,290696,0.823353,17.66
sna_Latn,579,100000,1495877,407300,513934,0.792514,20.75
snd_Arab,132,100000,929180,266470,328841,0.81033,18.97
som_Latn,205,100000,1342537,352175,452872,0.777653,22.23
sot_Latn,104,100000,1034402,252612,322415,0.7835,21.65
spa_Latn,52,100000,1147553,269468,366498,0.735251,26.47
sqi_Latn,68,100000,1116510,273989,364770,0.751126,24.89
srd_Latn,146,100000,1147065,291609,372093,0.783699,21.63
srp_Latn,75,100000,1038233,265538,338282,0.784962,21.5
sun_Latn,225,100000,1319212,355644,437632,0.812656,18.73
swa_Latn,77,100000,1231438,284584,386683,0.735963,26.4
swe_Latn,71,100000,1165640,291365,380789,0.765163,23.48
swh_Latn,41,100000,1260557,278714,394381,0.706714,29.33
tam_Taml,164,100000,1732326,437204,661809,0.66062,33.94
tat_Cyrl,108,100000,1439454,371728,530066,0.701287,29.87
tel_Telu,126,100000,1540230,429851,614736,0.699246,30.08
tgk_Cyrl,158,100000,1404036,386662,514956,0.750863,24.91
tgl_Latn,62,100000,1152160,279730,356404,0.784869,21.51
tha_Thai,104,100000,1067239,298573,425090,0.702375,29.76
tir_Ethi,314,100000,957173,358285,468680,0.764456,23.55
tsn_Latn,68,100000,1017070,234487,310017,0.756369,24.36
tso_Latn,65,100000,1132891,252714,359999,0.701983,29.8
tuk_Latn,92,100000,1602084,373215,564090,0.661623,33.84
tur_Latn,79,100000,1471394,371705,509770,0.729162,27.08
uig_Arab,291,100000,1558688,437647,593778,0.737054,26.29
ukr_Cyrl,92,100000,1382196,367428,512693,0.716664,28.33
urd_Arab,110,100000,911553,250582,310842,0.806141,19.39
uzb_Latn,138,100000,1608620,394486,558864,0.705872,29.41
uzn_Cyrl,110,100000,1506523,382750,539138,0.70993,29.01
vec_Latn,123,100000,1120521,290986,366338,0.794311,20.57
vie_Latn,99,100000,875253,228965,311309,0.735493,26.45
vol_Latn,97,100000,1225426,209626,388785,0.539184,46.08
war_Latn,72,100000,1303249,241558,393471,0.613918,38.61
wln_Latn,95,100000,1236683,251612,386644,0.65076,34.92
wuu_Hani,4920,100000,573881,316407,340322,0.929728,7.03
xho_Latn,198,100000,1521344,407728,523432,0.778952,22.1
yid_Hebr,188,100000,1194307,309668,417071,0.742482,25.75
yor_Latn,243,100000,958218,275344,336652,0.817889,18.21
yue_Hani,4007,100000,512254,273860,286902,0.954541,4.55
zsm_Latn,56,100000,1370749,313496,430614,0.72802,27.2
zul_Latn,299,100000,1685204,464456,592189,0.784305,21.57
