Upper group (freq10_ratio > 0.5): 0 languages
============================================================
Code   Language                         Distinct     Freq10    Ratio    AvgFreq
------------------------------------------------------------


Lower group (freq10_ratio <= 0.5): 290 languages
============================================================
Code   Language                         Distinct     Freq10    Ratio    AvgFreq
------------------------------------------------------------
deu    German                         49,780,613  5,346,398    0.107      200.2
eng    English                        35,475,715  4,525,639    0.128      761.8
rus    Russian                        23,488,262  2,608,652    0.111      213.0
ukr    Ukrainian                      16,916,037  1,921,409    0.114      174.7
dan    Danish                         16,468,825  1,845,676    0.112      183.3
hun    Hungarian                      14,417,443  1,554,202    0.108       70.5
kat    Georgian                       13,264,356  1,812,432    0.137      117.9
nld    Dutch                          12,827,134  1,388,089    0.108      187.8
fin    Finnish                        12,761,887  1,244,525    0.098       35.6
swe    Swedish                        11,666,430  1,225,200    0.105      121.0
isl    Icelandic                      11,051,685  1,650,539    0.149      217.0
tur    Turkish                         9,646,216  1,217,395    0.126      132.9
ind    Indonesian                      7,823,597    818,188    0.105      240.6
ces    Czech                           7,810,416  1,141,102    0.146      174.3
ita    Italian                         7,212,588    834,254    0.116      309.3
spa    Spanish                         6,967,270    909,186    0.130      597.0
tha    Thai                            6,305,956     97,753    0.016        3.4
pes    Iranian Persian                 6,085,377    563,365    0.093      132.1
hrv    Croatian (Croatia)              6,039,449    807,312    0.134      150.0
fra    French                          5,808,282    751,093    0.129      283.8
ara    Arabic                          5,710,586    764,062    0.134      101.9
fas    Persian                         5,314,819    579,979    0.109      177.4
nob    Norwegian Bokmål                4,817,396    564,042    0.117      119.8
por    Portuguese                      4,135,351    562,097    0.136      458.3
pol    Polish                          3,729,892    649,091    0.174      143.2
cmn    Mandarin Chinese                3,672,466     14,901    0.004        1.4
kaz    Kazakh                          3,667,931    421,263    0.115       58.1
heb    Hebrew                          3,595,576    524,931    0.146       87.1
mkd    Macedonian                      3,376,146    410,763    0.122      144.2
tam    Tamil                           3,267,102    327,507    0.100       21.9
vie    Vietnamese                      2,935,678    286,731    0.098      620.4
afr    Afrikaans                       2,909,314    487,253    0.167      217.4
ron    Romanian                        2,811,783    384,000    0.137      177.4
ell    Modern Greek                    2,546,334    379,910    0.149      156.5
hin    Hindi                           2,535,930    278,327    0.110      165.6
tat    Tatar                           2,451,920    415,808    0.170      109.5
cat    Catalan                         2,048,225    289,702    0.141      156.1
uzn    Northern Uzbek                  1,996,912    247,411    0.124       43.7
lit    Lithuanian                      1,980,433    297,413    0.150       48.9
ben    Bengali                         1,874,766    199,604    0.106       39.7
tel    Telugu                          1,848,188    181,141    0.098       18.1
est    Estonian                        1,754,569    232,267    0.132       37.7
urd    Urdu                            1,754,026    159,801    0.091      133.3
hye    Armenian                        1,691,052    183,770    0.109       27.7
bul    Bulgarian                       1,621,793    250,013    0.154       99.5
mar    Marathi                         1,566,979    160,493    0.102       25.2
mal    Malayalam                       1,550,834    126,904    0.082        9.5
hbs    Serbo-Croatian                  1,509,346    223,849    0.148       40.3
slk    Slovak                          1,435,750    253,532    0.177       58.1
epo    Esperanto                       1,369,139    158,162    0.116       39.0
aze    Azerbaijani                     1,359,898    168,243    0.124       27.9
sqi    Albanian                        1,339,636    195,369    0.146      112.9
