file,lang,word_count,morph_count,word_total_frequency,morph_total_frequency,word_ttr,morph_ttr,word_zipf_slope,morph_zipf_slope,word_hapax_count,morph_hapax_count,word_hapax_ratio,morph_hapax_ratio,word_freq_hapax_count,morph_freq_hapax_count,word_freq_hapax_ratio,morph_freq_hapax_ratio,word_avg_length,morph_avg_length,word_avg_length_weighted,morph_avg_length_weighted,word_entropy,morph_entropy,word_perplexity,morph_perplexity,word_type_entropy,morph_type_entropy,word_type_perplexity,morph_type_perplexity,avg_morphs_per_word,avg_roots_per_word,avg_affixes_per_word,avg_prefixes_per_word,avg_suffixes_per_word,compounding_index,affix_deviation,avg_morphs_per_word_weighted,avg_roots_per_word_weighted,avg_affixes_per_word_weighted,avg_prefixes_per_word_weighted,avg_suffixes_per_word_weighted,compounding_index_weighted,affix_deviation_weighted,root_entropy,affix_entropy,prefix_entropy,suffix_entropy,root_count,affix_count,prefix_count,suffix_count,root_type_entropy,affix_type_entropy,prefix_type_entropy,suffix_type_entropy
bel_Slounik-bel_Cyrl,bel,172319,49635,966663.4110002465,2365191.5670016077,0.17826163485560545,0.020985615157981943,-1.2621617127593387,-1.7342563814085818,172319,31965,1.0,0.6440012088244182,0,0,0.0,0.0,8.496828556340276,6.060562103354488,5.965569223348342,2.4381392304347136,13.146361861637,8.901329973691967,9066.700171674991,478.15348271516166,17.394722257247285,10.120817911832583,172319.0000030713,1113.4475708062466,3.0321612822729938,1.873989519437787,1.1581717628352068,0.27645239352596057,0.5461556763908797,0.6619971343796087,0.29179170677387084,2.4467581374085516,1.713765678051249,0.7329924593576858,0.1833034776982225,0.3485187637870898,0.7632116948328105,0.251379923453261,8.608030365795203,7.1064118141157655,5.08205619314823,6.136178467620341,49265,1558,621,928,10.298782733573411,7.534565089615876,5.521505937690036,6.690371238816711
ben_kcis-ben_Beng,ben,107492,80856,986875.9900001142,1785735.1250001278,0.10892148668039595,0.045278831596032035,-1.3444790474046302,-1.4411059611938404,107492,67996,1.0,0.840951815573365,0,0,0.0,0.0,7.372120715960257,6.899525081626596,5.314159735509822,2.9368358798450696,12.776762057247236,9.70865772227828,7017.600269775069,836.7528341835637,16.713869766927207,12.453379996190385,107492.00000168785,5608.425125430358,1.725672608194098,1.2506977263424255,0.4749748818516727,0.012066014215011349,0.462490231831206,0.7670377020305352,0.006289308176100629,1.8094827953003472,1.274665252520704,0.5348175427796216,0.04836946332030473,0.48559421939114944,0.7371528476777763,-7.595391414348257e-05,10.574436606004115,5.087954439259993,3.4935092203623768,4.943078872894368,80778,359,90,351,13.936147799693961,5.602736338113768,5.039630538364576,5.553754801358025
cat_Morphynet-cat_Latn,cat,37293,28874,937512.8869999945,1290132.5249999848,0.03977865319732956,0.022380646515365032,-1.2268934343926303,-1.3304513873283068,37293,23096,1.0,0.7998891736510355,0,0,0.0,0.0,7.730405169871021,7.1804737826418235,4.741959223862942,3.4458768047879835,10.582543065476004,8.896623365197714,1533.4262487574704,476.5961097330547,15.18661723755675,12.045578718764824,37292.999999839674,4227.46975806117,1.4752098249001153,1.0105113560185557,0.4646984688815595,0.05129648995790095,0.4133215348724962,0.7734986011673253,0.004366812227074236,1.376122443637411,1.002715473072747,0.37340697056466643,0.051444562169522895,0.32195476583353355,0.8156824039653584,0.0030377594536871323,10.148466446078462,2.6542787457937767,2.389068004609832,2.3608404042961126,28787,214,75,164,14.62662192748447,3.6493203729075647,4.393257832077321,3.1006766603893263
ces_SlavickovaDict-ces_Latn,ces,119827,35895,969055.2199999989,2237753.092000167,0.12365342812972013,0.016040643683310044,-1.231821483961195,-1.7221482124846408,119827,22139,1.0,0.61677113804151,31,7,0.00025870630158478475,0.0001950132330408135,7.779056473082027,5.093606351859591,5.2993413430041745,2.294866562516906,12.78314030618107,9.165359248097975,7048.694222124175,574.1799917473669,16.87059349421602,10.341054044027953,119826.99999910517,1297.0820642005456,2.9512380348335516,1.422058467624158,1.5291795672093935,0.5655236298997721,0.8325335692289718,0.5383148048779308,0.2512971736117825,2.309211122148428,1.364841121231469,0.9443700009169856,0.3682803184322183,0.5168988563933424,0.6795113015632717,0.23502150419434395,9.507965857626637,6.9398828553532015,5.730115899216579,6.470567832415732,35657,1487,750,1001,11.695474821659998,7.385668686539209,5.905146152213892,7.076963057791013
deu_CELEX-deu_Latn,deu,125407,55424,963100.5480000074,1483812.9170000905,0.1302117419208436,0.03735241779135733,-1.2780987222256026,-1.5845872832271735,125407,41328,1.0,0.7456697459584296,47,12,0.0003747797172406644,0.00021651270207852195,9.913059079636703,6.97459584295612,5.692046161103376,3.6945399694210006,11.52558619442797,9.479398014562552,2948.133611278892,713.8108470896586,16.936258353587093,11.25784620725898,125407.00000364947,2448.777887699898,2.3126061543613994,1.526238567225115,0.7863675871362843,0.3358664189399316,0.2803671246421651,0.748560063037973,-0.09145507070092747,1.5406625196935977,1.2628796022656055,0.27778291742804967,0.11756132964010933,0.11291328950629781,0.8972820815205423,-0.01147118996275163,9.442515904260144,7.183654718299541,6.473688489682966,6.705207456814665,54861,2082,998,1552,11.83470672434111,7.909090671769254,7.546543337683001,7.5468443329522374
deu_MorphoChallenge-deu_Latn,deu,125407,54531,963100.5480000074,1672321.6980000637,0.1302117419208436,0.032607960576732244,-1.2780987222256026,-1.583015022123936,125407,38913,1.0,0.7135941024371458,47,12,0.0003747797172406644,0.0002200583154535952,9.913059079636703,6.916066090847408,5.692046161103376,3.278081086644964,11.52558619442797,8.973190263355157,2948.133611278892,502.57331594698854,16.936258353587093,10.927749392196576,125407.00000364947,1947.9614238734898,2.4619518846635353,1.6618689546835503,0.8000829299799852,0.34612102992655913,0.2607111245783728,0.7478382481877683,-0.0602247191011236,1.7363936729895653,1.414501370421834,0.3218923025677554,0.135107391715447,0.13152373266015344,0.8833833320605483,-0.05793779640513712,8.887310378431016,6.712196248095024,6.138155118575219,5.449902653556783,53890,2389,1172,1573,11.277405443244358,7.87688406339092,7.460778131515241,7.132424468457651
ell_GreekAnnotatedDictionary-ell_Grek,ell,57472,41081,967041.8939999962,1567046.482000025,0.05943072410469967,0.02621555931612713,-1.2083834642175797,-1.3600492811298734,57472,32957,1.0,0.8022443465348945,0,0,0.0,0.0,8.247355233853007,7.1687154645699955,5.23708786808777,3.231862621928224,11.14361936990683,9.23622048561927,2262.370298914241,603.0862302865917,15.810571634718634,11.952822450413917,57471.99999910318,3964.223123143478,1.7905240812917596,1.0091870824053453,0.7813369988864143,0.04395183741648107,0.7373503619153675,0.6483191815144639,0.14430379746835442,1.6204535622734715,1.0035420999041023,0.6169114623693813,0.02000470209204827,0.5969025557025115,0.7131534012941181,0.21969792127267407,10.596643386791294,4.842937406151449,3.618979681959811,4.6806589875463125,40940,321,71,278,15.022232065115798,5.7670376237658,4.0645249602351265,5.56123778621825
eng_MorphoLex-eng_Latn,eng,25843,14416,939329.0250000061,1262777.406999987,0.0275121914815736,0.0114161054197576,-1.2867613243252078,-1.582257789053262,25843,9773,1.0,0.6779273029966704,0,0,0.0,0.0,7.130093255427002,5.69804384017758,4.830785155393203,3.593425638474419,10.897154943092264,9.664467422472732,1907.086998044508,811.5113274389498,14.657485935418151,11.06749316046432,25843.0000000872,2146.087465986108,1.7542854931702976,1.0471307510737917,0.7071547420965059,0.10718569825484657,0.598266455132918,0.7098672754711258,0.19155844155844157,1.3443398142626293,1.016336261939739,0.3280035523228915,0.04424604573461333,0.2832629684790155,0.8580379876121291,0.1491588753910641,10.208817260266834,5.159761629675745,4.8917207400484966,4.6042323963987455,14289,349,143,285,13.283872380100261,5.519215633315186,5.398449139094243,4.903010791847712
fas_PerSegLex-fas_Arab,fas,35967,20381,956275.8079999976,1289698.1540000276,0.037611533931014275,0.015802922518565972,-1.326211296029975,-1.5567004655373349,35967,15648,1.0,0.7677739070703106,0,0,0.0,0.0,5.717296410598604,4.767675776458466,4.016240545740136,2.977930895758976,11.259404779172687,9.741639233355716,2451.424780248389,856.1022060734248,15.1343862091406,11.271929079860696,35966.99999983318,2472.7986903045603,1.7459337726249062,1.0588317068423834,0.6871020657825229,0.14482720271359859,0.5336836544610337,0.7338194270673689,0.07382265591854052,1.3486675530329768,1.0143518699157545,0.3343156831172285,0.0675259182129182,0.2648101320576344,0.8571637796432368,0.04501810626539741,10.38923233542508,5.179309755030899,5.265659100696918,4.446027146448379,20316,293,171,232,13.537733469760767,5.567730261356146,5.538556873872185,4.834397035355531
fin_MorphoChallenge-fin_Latn,fin,702283,196762,958870.8800008339,2026010.119998294,0.7324062234525145,0.09711797490930879,-1.2949433268325794,-1.6646737400672753,702283,136904,1.0,0.695784755186469,100,-19,0.00014239273910944734,-9.656336081153881e-05,11.296760707577999,7.650872627844808,7.395857760321007,3.5002879368666915,14.301662565240358,9.86164742111861,20194.328657031718,930.3613933135308,19.42169298694622,11.181399999738694,702282.9999495706,2322.398773358411,2.8231624572999774,2.1428483958745974,0.6803140614253798,0.1953471748568597,0.24268848882857766,0.7955690977620468,-0.01451941582701234,2.1129123454028895,1.7787918244000163,0.3341205210028001,0.07023315902545582,0.1653104649499543,0.8830544025673619,-0.0009154455117566845,9.663138590594107,7.851863167709815,8.083530159196998,6.18070004799665,195604,4211,2008,2333,11.041654822178694,8.822354092963462,8.833459782146331,7.211370338504645
