language,lang,script,word_count,morph_count,word_total_frequency,morph_total_frequency,word_ttr,morph_ttr,word_zipf_slope,morph_zipf_slope,word_hapax_count,morph_hapax_count,word_hapax_ratio,morph_hapax_ratio,word_freq_hapax_count,morph_freq_hapax_count,word_freq_hapax_ratio,morph_freq_hapax_ratio,word_avg_length,morph_avg_length,word_avg_length_weighted,morph_avg_length_weighted,word_frequency_entropy,morph_frequency_entropy,word_frequency_perplexity,morph_frequency_perplexity,avg_root_count,avg_prefix_count,avg_suffix_count,avg_interfix_count,avg_root_count_weighted,avg_prefix_count_weighted,avg_suffix_count_weighted,avg_interfix_count_weighted
abk_Cyrl,abk,Cyrl,400052,400052,3335056.0,3335057.0,0.4255614187615734,0.42556129110093016,-1.037019029841407,-1.0370191720829418,400051,400050,0.9999975003249577,0.9999950006499155,190380,190380,0.4758881345425095,0.4758881345425095,9.315221521202243,9.315191525101737,6.678161925916687,6.678159923503556,14.79689074561547,14.796892413069004,28464.788220952334,28464.821120309323,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
afr_Latn,afr,Latn,26955,26955,385259444.0,385259444.0,0.028675498358458795,0.028675498358458795,-1.260127045597578,-1.260127045597578,26955,26955,1.0,1.0,0,0,0.0,0.0,7.777295492487479,7.777295492487479,4.388864746427864,4.388864746427864,9.762890901872296,9.762890901872296,868.8063888028934,868.8063888028934,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
als_Latn,als,Latn,89141,89141,93333634.0,93333634.0,0.09483112889888812,0.09483112889888812,-1.2584972253944011,-1.2584972253944011,89141,89141,1.0,1.0,0,0,0.0,0.0,7.5730584130759135,7.5730584130759135,4.6652849389749464,4.6652849389749464,11.257852897120113,11.257852897120113,2448.789242852256,2448.789242852256,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
amh_Ethi,amh,Ethi,833549,833549,93826320.0,93826320.0,0.8868466175606419,0.8868466175606419,-1.2710452753742083,-1.2710452753742083,833544,833544,0.9999940015523983,0.9999940015523983,0,0,0.0,0.0,5.39544405907751,5.39544405907751,4.027528405675508,4.027528405675508,14.796067854585646,14.796067854585646,28448.55697365446,28448.55697365446,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ara_Arab,ara,Arab,167478,167478,815220430.0,815220430.0,0.17816790864433718,0.17816790864433718,-1.3087811031185355,-1.3087811031185355,167478,167478,1.0,1.0,0,0,0.0,0.0,6.085414203656599,6.085414203656599,4.709469511209379,4.709469511209379,13.211496286657482,13.211496286657482,9485.422278808417,9485.422278808417,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
arg_Latn,arg,Latn,59520,59520,11563496.0,11563496.0,0.06331916611319365,0.06331916611319365,-1.1747573199152812,-1.1747573199152812,59520,59520,1.0,1.0,0,0,0.0,0.0,7.595396505376344,7.595396505376344,4.780329063113785,4.780329063113785,10.629617410463485,10.629617410463485,1584.286359414232,1584.286359414232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
arz_Arab,arz,Arab,218272,218272,42614904.0,42614904.0,0.23220202074522858,0.23220202074522858,-1.192277382689376,-1.192277382689376,218271,218271,0.9999954185603284,0.9999954185603284,0,0,0.0,0.0,6.273507366954992,6.273507366954992,4.383590515656213,4.383590515656213,11.325128578162,11.325128578162,2565.6854232098153,2565.6854232098153,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
asm_Beng,asm,Beng,141288,141288,43778474.0,43778474.0,0.15030596675903274,0.15030596675903274,-1.340212075487167,-1.340212075487167,141288,141288,1.0,1.0,0,0,0.0,0.0,7.264537681897967,7.264537681897967,5.373740802386123,5.373740802386123,13.080079888258547,13.080079888258547,8659.571292884568,8659.571292884568,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ast_Latn,ast,Latn,74376,74376,152762499.0,152762499.0,0.07912341915408849,0.07912341915408849,-1.2434700707699193,-1.2434700707699193,74375,74375,0.9999865548026245,0.9999865548026245,0,0,0.0,0.0,7.842287834785415,7.842287834785415,4.995260230719321,4.995260230719321,11.038980654908766,11.038980654908766,2104.089933926615,2104.089933926615,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
aze_Latn,aze,Latn,270547,270547,465087062.0,465087062.0,0.28781702481934307,0.28781702481934307,-1.3626377344401375,-1.3626377344401375,270546,270546,0.999996303784555,0.999996303784555,0,0,0.0,0.0,8.830750294773182,8.830750294773182,6.460644970596925,6.460644970596925,13.542198595969586,13.542198595969586,11929.10838854618,11929.10838854618,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
azj_Latn,azj,Latn,111837,111837,17777700.0,17777700.0,0.11897467238619751,0.11897467238619751,-1.2949094643315153,-1.2949094643315153,111837,111837,1.0,1.0,0,0,0.0,0.0,8.812763217897476,8.812763217897476,6.365096159795699,6.365096159795699,12.983726470582324,12.983726470582324,8100.113851039733,8100.113851039733,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bak_Cyrl,bak,Cyrl,182969,182969,43489415.0,43489415.0,0.19464769053131403,0.19464769053131403,-1.288881655535044,-1.288881655535044,182969,182969,1.0,1.0,0,0,0.0,0.0,8.492985150489973,8.492985150489973,6.316547118419505,6.316547118419505,13.471684054301944,13.471684054301944,11360.069607007214,11360.069607007214,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bar_Latn,bar,Latn,194759,194759,8289517.0,8289517.0,0.20718829391675705,0.20718829391675705,-1.0505819116919768,-1.0505819116919768,194759,194759,1.0,1.0,0,0,0.0,0.0,9.03608048922001,9.03608048922001,4.980145525969728,4.980145525969728,12.034346380193668,12.034346380193668,4194.683895217438,4194.683895217438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bel_Cyrl,bel,Cyrl,172320,172320,123255639.0,123255639.0,0.18331917097350936,0.18331917097350936,-1.2624997102174254,-1.2624997102174254,172320,172320,1.0,1.0,0,0,0.0,0.0,8.49678505106778,8.49678505106778,5.800022755956829,5.800022755956829,12.91893972557822,12.91893972557822,7744.410579581002,7744.410579581002,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ben_Beng,ben,Beng,107493,107493,62689932.0,62689932.0,0.11435283746563767,0.11435283746563767,-1.3448726274655427,-1.3448726274655427,107493,107493,1.0,1.0,0,0,0.0,0.0,7.37206143655866,7.37206143655866,5.257527715933716,5.257527715933716,12.709906996343177,12.709906996343177,6699.821744284089,6699.821744284089,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bew_Cyrl,bew,Cyrl,128793,128793,2823300.0,2823300.0,0.137011775776796,0.137011775776796,-1.1364589788668151,-1.1364589788668151,128793,128793,1.0,1.0,0,0,0.0,0.0,8.570978236394835,8.570978236394835,6.277478128431269,6.277478128431269,13.219493134428257,13.219493134428257,9538.145891524584,9538.145891524584,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bos_Latn,bos,Latn,105761,105761,164642746.0,164642746.0,0.11251175515181876,0.11251175515181876,-1.2158771842618874,-1.2158771842618874,105761,105761,1.0,1.0,0,0,0.0,0.0,7.753718289350517,7.753718289350517,4.821169388173348,4.821169388173348,11.861758221595036,11.861758221595036,3721.731395111979,3721.731395111979,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bpy_Beng,bpy,Beng,79216,79216,3373109.0,3373109.0,0.084272462441228,0.084272462441228,-1.102216314160284,-1.102216314160284,79200,79200,0.9997980206018986,0.9997980206018986,0,0,0.0,0.0,6.785447384366795,6.785447384366795,5.398030125916477,5.398030125916477,11.32390628906113,11.32390628906113,2563.5126277398153,2563.5126277398153,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bre_Latn,bre,Latn,69451,69450,19461848.0,19461872.0,0.07388412351135396,0.07388296858417294,-1.2247992493596263,-1.2248064301095507,69451,69448,1.0,0.9999712023038156,0,0,0.0,0.0,7.3042576780751896,7.304276457883369,4.372014363692492,4.372008972209867,10.68829296827266,10.688272219382004,1650.0487896740538,1650.0250587851617,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bul_Cyrl,bul,Cyrl,63602,63602,479521625.0,479521625.0,0.06766167966973904,0.06766167966973904,-1.2123094334463753,-1.2123094334463753,63602,63602,1.0,1.0,0,0,0.0,0.0,8.034637275557373,8.034637275557373,4.977001427203622,4.977001427203622,11.165064146763685,11.165064146763685,2296.2502240470617,2296.2502240470617,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cak_Latn,cak,Latn,9630,9630,3485277.0,3485277.0,0.010244634030907016,0.010244634030907016,-1.2361375480527717,-1.2361375480527717,9630,9630,1.0,1.0,0,0,0.0,0.0,7.4009345794392525,7.4009345794392525,4.3523630976820495,4.3523630976820495,8.762825338264738,8.762825338264738,434.3834532970562,434.3834532970562,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cat_Latn,cat,Latn,37294,37294,488750791.0,488750791.0,0.03967445753338892,0.03967445753338892,-1.2280035269024134,-1.2280035269024134,37294,37294,1.0,1.0,0,0,0.0,0.0,7.730251514989006,7.730251514989006,4.570622444271399,4.570622444271399,10.258511081800293,10.258511081800293,1224.9533407782783,1224.9533407782783,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ceb_Latn,ceb,Latn,61722,61722,540279795.0,540279795.0,0.06566169227840372,0.06566169227840372,-1.1716470349666708,-1.1716470349666708,61722,61722,1.0,1.0,0,0,0.0,0.0,7.386345225365348,7.386345225365348,4.982718365398062,4.982718365398062,8.193998884184069,8.193998884184069,292.8461026456878,292.8461026456878,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ces_Latn,ces,Latn,119828,119828,1541106312.0,1541106312.0,0.1274765973720391,0.1274765973720391,-1.2322085986561573,-1.2322085986561573,119828,119828,1.0,1.0,0,0,0.0,0.0,7.778999899856461,7.778999899856461,5.1662982138249784,5.1662982138249784,12.586675406199864,12.586675406199864,6151.299076408867,6151.299076408867,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
che_Cyrl,che,Cyrl,107612,107612,8438188.0,8438188.0,0.11448006882397001,0.11448006882397001,-1.1639295818096904,-1.1639295818096904,107612,107612,1.0,1.0,0,0,0.0,0.0,7.723906255807902,7.723906255807902,6.750738784203433,6.750738784203433,10.58368167330207,10.58368167330207,1534.6369414121407,1534.6369414121407,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
chv_Cyrl,chv,Cyrl,143960,143960,12800189.0,12800189.0,0.1531493757415338,0.1531493757415338,-1.2346490709086069,-1.2346490709086069,143960,143960,1.0,1.0,0,0,0.0,0.0,8.05070158377327,8.05070158377327,5.817287307242104,5.817287307242104,13.268701636060369,13.268701636060369,9869.09196524158,9869.09196524158,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ckb_Arab,ckb,Arab,502075,502075,32042637.0,32042637.0,0.534137082044811,0.534137082044811,-1.2047266915099388,-1.2047266915099388,502052,502052,0.9999541901110391,0.9999541901110391,0,0,0.0,0.0,8.34064830951551,8.34064830951551,5.473181779639423,5.473181779639423,13.282995647186356,13.282995647186356,9967.359488960874,9967.359488960874,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cmn_Hani,cmn,Hani,76787,76787,57907304.0,57907304.0,0.08168823530261526,0.08168823530261526,-1.23497023317648,-1.23497023317648,76787,76787,1.0,1.0,0,0,0.0,0.0,2.468542852305729,2.468542852305729,1.7926763435576278,1.7926763435576278,12.092036110072707,12.092036110072707,4365.817504211106,4365.817504211106,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cos_Latn,cos,Latn,714380,714380,59655051.0,59655051.0,0.7599765590883427,0.7599765590883427,-1.266702970517543,-1.266702970517543,714307,714307,0.9998978134886195,0.9998978134886195,0,0,0.0,0.0,8.407582799070523,8.407582799070523,4.964357033237638,4.964357033237638,13.49864602430458,13.49864602430458,11574.369806662033,11574.369806662033,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cym_Latn,cym,Latn,36040,36040,42380203.0,42380203.0,0.03834041843485769,0.03834041843485769,-1.3044718494019332,-1.3044718494019332,36040,36040,1.0,1.0,0,0,0.0,0.0,7.0397058823529415,7.0397058823529415,4.604311428144881,4.604311428144881,10.861227288336966,10.861227288336966,1860.1809972670094,1860.1809972670094,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
