language,original_distinct_words,original_total_frequency,word_count,morph_count,word_total_frequency,morph_total_frequency,word_ttr,morph_ttr,word_hapax_count,morph_hapax_count,word_hapax_ratio,morph_hapax_ratio,word_avg_length,morph_avg_length,word_avg_length_weighted,morph_avg_length_weighted,word_frequency_entropy,morph_frequency_entropy,word_frequency_perplexity,morph_frequency_perplexity,avg_root_count,avg_prefix_count,avg_suffix_count,avg_interfix_count,avg_root_count_weighted,avg_prefix_count_weighted,avg_suffix_count_weighted,avg_interfix_count_weighted,cutoff_word_pct
Czech,1374563,1684211307,121291,24919,1600001235,3763080616,7.580681648661352e-05,6.62196815397696e-06,0,0,0.0,0.0,7.787428580851011,4.705084473694771,5.177856897091708,2.201541310269926,12.59690320905678,8.631358000880818,6195.062873875799,396.54973279864714,1.0892564163870362,0.3727894072932039,1.9687116109191944,0.033382526320996614,1.0405393093337205,0.19358716182490945,1.1074449976908924,0.010352100759472226,8.823968053846931
German,5433314,11322763934,102287,31526,1709426859,3733005531,5.983701464702445e-05,8.445205810224126e-06,0,0,0.0,0.0,9.860070194648392,5.418067626720802,5.573856521462321,2.5523937660621696,11.174349344450118,7.944182843388437,2311.076570298237,246.28463988610045,1.223555060222118,0.5446288909745034,1.5061101986547787,0.19946621304551854,1.0971169466104662,0.17523356873849144,0.8715805359882906,0.03987640397780833,1.8825895208706878
Modern Greek,2546334,398568481,59361,26758,378640282,673314420,0.0001567741279043311,3.974072024181511e-05,0,0,0.0,0.0,8.442613837367968,5.4490619627774874,5.255362412813754,2.955368022565149,10.924173750812733,9.369568462467667,1943.139485098325,661.4867564182462,1.0769360354441468,0.21477064065632318,1.3561934603527568,0.019002375296912115,1.0296790213144833,0.08568439899904787,0.6573637719824009,0.005515778693615065,2.331233844421038
English,5090214,26970419603,36665,23378,25621899350,35969584082,1.4310024209817216e-06,6.499380128139676e-07,0,0,0.0,0.0,7.188108550388654,5.568440414064505,4.789979023549634,3.412003879450362,10.812346751757003,9.469652703783897,1798.2111896331342,709.0053501182643,1.0457917416680302,0.06371024927725959,0.7770686739758905,0.008127420498554519,1.0129612855964951,0.023180728012656096,0.3667817792750794,0.0009453998186906467,0.7203037043236297
Esperanto,216173,51337080,45857,15800,48770230,89110229,0.0009402662238828893,0.00017730848834425058,0,0,0.0,0.0,7.583204309047692,5.222151898734177,4.689062220949133,2.5663343654969175,10.510123403143377,8.284759771549126,1458.3521373537858,311.86109404078985,1.0709161087729244,0.18361427917220927,1.4702226486686873,0.015243038140305733,1.0211900989599598,0.06568562420148522,0.7372697032595499,0.002998489037267202,21.21310246885596
French,951145,1638019359,33857,17249,1556119293,2675925825,2.175732937204834e-05,6.445993322703555e-06,0,0,0.0,0.0,7.971556842011991,5.477534929561134,4.849410114601028,2.820055985296229,10.410358179600461,8.481095907133065,1360.9121069508872,357.3257090380557,1.0124331827175808,0.14565429254895013,1.3998405244972092,0.0032485750568500634,1.0048973244109762,0.06334252871447434,0.6505127952295108,0.0008637448337323584,3.5596044767096497
Hindi,394549,415660517,18939,14006,394878329,562305277,4.796160895423562e-05,2.4908178124744863e-05,0,0,0.0,0.0,5.730555995564708,5.487148364986434,3.8741321760404834,2.7206055190550877,10.308547577606497,8.78116066214968,1268.1833078332606,439.9392965520659,1.0012672263583082,0.0004224087861027509,0.4662864987591742,0.0,1.0191173215788198,0.00038514901636954607,0.4044938232100349,0.0,4.800164238155464
Latin,357308,6871526,139642,49208,6527952,14495257,0.02139139503476741,0.0033947656119515507,0,0,0.0,0.0,8.577412239870526,5.598175093480735,6.124026187692556,2.757960690176104,12.680379361769615,8.809685652210378,6564.090261076224,448.72434643467693,1.0627390040245772,0.2348004182122857,1.6058993712493377,0.022042079030664127,1.0255286803579438,0.12509283156493797,1.0644070299536517,0.0054622031534545595,39.08168862717879
Marathi,1566979,39506277,256193,178765,37530964,53015751,0.0068261769135479705,0.0033719224311280624,0,0,0.0,0.0,8.384674834987685,7.371599586048723,5.747103751451735,4.068495492971513,13.268451668000328,11.169905939782703,9867.382148546398,2303.9695585190484,1.0578353038529547,0.06306183229049973,0.66764899899685,0.009133739017069162,1.0150004673474415,0.02128698319606179,0.37485011043148264,0.0014494165404331208,16.349485219648763
Russian,23284137,5001586103,186216,29255,4751507215,13784607740,3.9190932808043735e-05,2.1222947037591947e-06,0,0,0.0,0.0,8.803921252738755,4.516492907195351,5.98307135770602,2.0623442654451623,12.926636911707192,8.175658961298103,7785.839620185741,289.146927404101,1.1006454800287835,0.4868541172174548,2.517935967521937,0.05578408102331676,1.0607465972247292,0.2635004044711316,1.5491522920901215,0.02770318070536698,0.7997547858441135
Spanish,6967270,4159741439,28379,10816,3951755354,7401126752,7.181365610417795e-06,1.4613991034645098e-06,0,0,0.0,0.0,7.904330667042531,4.955436390532545,4.761952123618228,2.542595260230452,9.974586687046056,8.145886910070631,1006.1200116072301,283.2411188262819,1.0546883258747666,0.25067831847492866,1.5723598435462842,0.01902815462137496,1.0225323599321174,0.09323971323959646,0.7522645421333944,0.004834068480647145,0.40731879200892174
Telugu,1848188,33398370,566733,352947,31728453,43969968,0.017861980223240006,0.008027001520674292,0,0,0.0,0.0,9.52655836169766,8.09106466409971,6.759868468847189,4.877878669368147,14.450956786474375,12.348322931785262,22396.051566167112,5214.535141934435,1.0610110934073012,0.07826260337760463,0.5165695309784325,0.02460241418798623,1.0219668447119057,0.030305606138439842,0.3260788983314125,0.007470014374794763,30.664250606540026
