lang,script,script_type,segmentor,language_name,family,genus,typology,dominant_script_pct,original_token_count,original_type_count,current_token_count,current_type_count,last_type_frequency,type_token_ratio,corpus_zipf_slope,compress_ratio,compress_reduction_pct,token_frequency_entropy,token_frequency_perplexity,avg_type_length,avg_token_length,hapax_type_ratio,single_token_type_ratio,word_count,word_total_frequency,word_ttr,word_entropy,word_perplexity,word_zipf_slope,morph_zipf_slope,word_hapax_ratio,morph_hapax_ratio,word_avg_length,word_avg_length_weighted,morph_count,morph_total_frequency,morph_ttr,morph_entropy,morph_perplexity,morph_type_entropy,morph_type_perplexity,morph_avg_length,morph_avg_length_weighted,avg_morphs_per_word,avg_roots_per_word,avg_affixes_per_word,avg_prefixes_per_word,avg_suffixes_per_word,compounding_index,affix_deviation,avg_morphs_per_word_weighted,avg_roots_per_word_weighted,avg_affixes_per_word_weighted,avg_prefixes_per_word_weighted,avg_suffixes_per_word_weighted,compounding_index_weighted,affix_deviation_weighted,root_entropy,affix_entropy,prefix_entropy,suffix_entropy,root_type_entropy,affix_type_entropy,prefix_type_entropy,suffix_type_entropy,root_count,affix_count,prefix_count,suffix_count
abk,Cyrl,alphabet,,Abkhaz,Northwest Caucasian,Northwest Caucasian,Polysynthetic,97.23,3547931,663174,3335056.0,400052,1,0.4255614187615734,-1.037019029841407,0.744945,25.51,14.79689074561547,28464.78822095233,9.315221521202243,6.678161925916687,0.9999975003249576,0.4758881345425095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afr,Latn,alphabet,,Afrikaans,Indo-European,Germanic,Isolating,99.92,409850019,4105641,385259444.0,26955,524,0.0286754983584587,-1.260127045597578,0.777402,22.26,9.762890901872296,868.8063888028934,7.777295492487479,4.388864746427864,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
als,Latn,alphabet,,Tosk Albanian,Indo-European,Albanian,Fusional,99.86,99291068,2631913,93333634.0,89141,41,0.0948311288988881,-1.2584972253944011,0.779541,22.05,11.257852897120111,2448.789242852256,7.5730584130759135,4.665284938974946,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amh,Ethi,ethiopic,,Amharic,Afro-Asiatic,Semitic,Introflexive,97.89,99815231,5591614,93826320.0,833549,4,0.8868466175606419,-1.2710452753742083,0.803494,19.65,14.796067854585646,28448.55697365446,5.39544405907751,4.027528405675508,0.9999940015523984,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ara,Arab,abjad,,Arabic,Afro-Asiatic,Semitic,Introflexive,95.56,867255773,10779260,815220430.0,167478,200,0.1781679086443371,-1.3087811031185357,0.823563,17.64,13.211496286657482,9485.422278808415,6.085414203656599,4.709469511209379,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arg,Latn,alphabet,,Aragonese,Indo-European,Romance,Fusional,99.58,12301588,494326,11563496.0,59520,9,0.0633191661131936,-1.1747573199152812,0.755197,24.48,10.629617410463483,1584.286359414232,7.595396505376344,4.780329063113785,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arz,Arab,abjad,,Arabic (Egyptian),Afro-Asiatic,Semitic,Introflexive,81.06,45335001,1711037,42614904.0,218272,7,0.2322020207452285,-1.192277382689376,0.81033,18.97,11.325128578162,2565.685423209816,6.273507366954992,4.383590515656213,0.9999954185603284,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asm,Beng,abugida,,Assamese,Indo-European,Indic,Fusional,92.21,46572832,1626990,43778474.0,141288,12,0.1503059667590327,-1.340212075487167,0.712236,28.78,13.080079888258547,8659.571292884568,7.264537681897967,5.373740802386123,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ast,Latn,alphabet,,Asturian,Indo-European,Romance,Fusional,99.34,162513226,2927509,152762499.0,74376,84,0.0791234191540884,-1.2434700707699191,0.76173,23.83,11.038980654908766,2104.089933926615,7.842287834785415,4.995260230719321,0.9999865548026244,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aze,Latn,alphabet,,Azerbaijani,Altaic,Turkic,Agglutinative,86.94,494773437,13245703,465087062.0,270547,55,0.287817024819343,-1.3626377344401377,0.735928,26.41,13.542198595969586,11929.10838854618,8.830750294773182,6.460644970596925,0.999996303784555,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azj,Latn,alphabet,,North Azerbaijani,Altaic,Turkic,Agglutinative,99.02,18912444,1003045,17777700.0,111837,7,0.1189746723861975,-1.294909464331515,0.72065,27.93,12.983726470582324,8100.113851039733,8.812763217897476,6.365096159795699,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
