Latin,Latn
Greek,Grek
Cyrillic,Cyrl
Armenian,Armn
Hebrew,Hebr
Arabic,Arab
Syriac,Syrc
Thaana,Thaa
Devanagari,Deva
Bengali,Beng
Gurmukhi,Guru
Gujarati,Gujr
Oriya,Orya
Tamil,Taml
Telugu,Telu
Kannada,Knda
Malayalam,Mlym
Sinhala,Sinh
Thai,Thai
Lao,Laoo
Tibetan,Tibt
Myanmar,Mymr
Georgian,Geor
Hangul,Hang
Ethiopic,Ethi
Cherokee,Cher
Canadian_Aboriginal,Cans
Ogham,Ogam
Runic,Runr
Khmer,Khmr
Mongolian,Mong
Hiragana,Hira
Katakana,Kana
Han,Hani
Buginese,Bugi
Balinese,Bali
Yi,Yiii
Tai_Le,Tale
New_Tai_Lue,Talu
Tifinagh,Tfng
Vai,Vaii
Old_Italic,Ital
Gothic,Goth
Deseret,Dsrt
Cypriot,Cprt
Ol_Chiki,Olck
